Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,Payment Date,,Amount Paid
RESO - Resources,AAF - Finance,October Land Registry Fee,,,143,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,144,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,145,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,146,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,147,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,148,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,149,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,150,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,151,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,152,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,153,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,154,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,155,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,156,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,157,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,158,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,159,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,160,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,161,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,162,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,163,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,164,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,165,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,166,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,167,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,168,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,169,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,170,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,171,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,172,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,173,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,174,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,175,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,176,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,177,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,178,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,179,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,180,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,181,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,182,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,183,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,184,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,185,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,186,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,187,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,188,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,189,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,190,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,191,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,192,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,193,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,194,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,195,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,196,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,197,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,198,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,199,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,200,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,201,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,202,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,203,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,204,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,205,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,206,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,207,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,208,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,209,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,210,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,211,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,212,,CRINV0006044,HM Land Registry,,06/11/2024,,4.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,213,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,214,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,215,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,216,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,217,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,218,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,219,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,220,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,221,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,222,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,223,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,224,,CRINV0006044,HM Land Registry,,06/11/2024,,1.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,225,,CRINV0006044,HM Land Registry,,06/11/2024,,1.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,226,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,227,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,228,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,229,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,230,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,231,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,232,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,233,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,234,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,235,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,236,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,237,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,238,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,239,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,240,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,HMRC Sept 24 Tax,,,1,,CRINV0006048,HM Revenue & Customs (Direct Debit),,06/11/2024,,"90,937.42"
RESO - Resources,AAF - Finance,HMRC Sept 24 Student loans,,,2,,CRINV0006048,HM Revenue & Customs (Direct Debit),,06/11/2024,,"1,718.00"
RESO - Resources,AAF - Finance,HMRC Apprenticeship Levy Sep 24,,,3,,CRINV0006048,HM Revenue & Customs (Direct Debit),,06/11/2024,,"2,579.00"
RESO - Resources,AAF - Finance,HMRC NI Sept 24,,,4,,CRINV0006048,HM Revenue & Customs (Direct Debit),,06/11/2024,,"106,960.07"
RESO - Resources,AAF - Finance,Paternity pay,,,5,,CRINV0006048,HM Revenue & Customs (Direct Debit),,06/11/2024,,229.13
RESO - Resources,AAF - Finance,HMRC Aug 24 Tax,,,1,,CRINV0006049,HM Revenue & Customs (Direct Debit),,06/11/2024,,"92,119.36"
RESO - Resources,AAF - Finance,HMRC Aug 24 Student loans,,,2,,CRINV0006049,HM Revenue & Customs (Direct Debit),,06/11/2024,,"1,748.00"
RESO - Resources,AAF - Finance,HMRC Apprenticeship Levy Aug 24,,,3,,CRINV0006049,HM Revenue & Customs (Direct Debit),,06/11/2024,,"2,620.00"
RESO - Resources,AAF - Finance,HMRC NI Aug 24,,,4,,CRINV0006049,HM Revenue & Customs (Direct Debit),,06/11/2024,,"108,193.93"
RESO - Resources,AAF - Finance,Paternity Pay,,,5,,CRINV0006049,HM Revenue & Customs (Direct Debit),,06/11/2024,,906.36-
ENVS - Environmental Services,CAC - Parks & Cemeteries,Urn,,,1,,CRINV0005716,Luke Howgate & Son Ltd,,07/11/2024,,286.40
REGN - Regeneration & Housing,FAB - Facilities,Works at Accrington Town Hall,,,1,,CRINV0005718,Pilkington Bros (Church) Ltd,,07/11/2024,,877.20
ENVS - Environmental Services,CAB - Other Environmental Services,Vehicle Hire - 11.10.24,,,1,,CRINV0005753,Stanley Brothers (Tippers) Ltd,,07/11/2024,,648.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Obtain Envir Agency Licence.Treat Japanese Knotweed ,,,1,,CRINV0005809,Lancashire Wildlife Trust,,07/11/2024,,"1,380.00"
ENVS - Environmental Services,CAF - CVMU,Starter motor,,,1,,CRINV0005824,Alliance Automotive Uk Lv T/A Jpn Autoparts,,07/11/2024,,282.50
REGN - Regeneration & Housing,FAB - Facilities,Annual Air conditioning costs,,,1,,CRINV0005825,Hyndburn Leisure,,07/11/2024,,420.00
ENVS - Environmental Services,CAF - CVMU,Vehicle parts and materials,,,1,,CRINV0005849,Terberg Matec Uk,,07/11/2024,,478.06
ENVS - Environmental Services,CAF - CVMU,Repairs and Parts,,,1,,CRINV0005858,Mrb Workshop Services,,07/11/2024,,"3,672.60"
ENVS - Environmental Services,CAA - Environmental Maintenance,Fees- October 24,,,1,,CRINV0006012,Ma Cost Consulting Limited,,07/11/2024,,"3,499.99"
ENVS - Environmental Services,CAA - Environmental Maintenance,Fees - October 24,,,2,,CRINV0006012,Ma Cost Consulting Limited,,07/11/2024,,"3,500.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Fees- October 24,,,3,,CRINV0006012,Ma Cost Consulting Limited,,07/11/2024,,"3,500.01"
RESO - Resources,AAB - Benefits & Customer Contact,Agency Costs  w/e 27/10/2024,,,1,,CRINV0006043,Eden Brown Limited,,07/11/2024,,"1,212.12"
LEGL - Legal & Democratic,DAG - Elections,AGM Conference Feb 25,,,1,,CRINV0006113,Assoc. Of Electoral Administrators,,07/11/2024,,822.00
REGN - Regeneration & Housing,FAB - Facilities,Electricity Invoice,,,1,,CRINV0006124,EDF - 7368808979 Accrington Town Hall,,07/11/2024,,"4,646.87"
REGN - Regeneration & Housing,FAB - Facilities,Electricity Invoice,,,1,,CRINV0006125,EDF - 5091617368 Accrington Market Blackburn Rd,,07/11/2024,,"6,611.57"
ENVS - Environmental Services,CAF - CVMU,Vehicle repairs,,,1,,CRINV0006141,Bucher Municipal Ltd,,07/11/2024,,"2,223.05"
LEGL - Legal & Democratic,DAH - Licencing,Goods for Taxi Licensing,,,1,,CRPOI0005312,Vip-System Ltd,,07/11/2024,,"3,314.88"
LEGL - Legal & Democratic,DAH - Licencing,Goods for Taxi Licensing,,,1,,CRPOI0005414,New Auto Ltd t/a Mogo (UK),,07/11/2024,,"1,336.68"
ENVS - Environmental Services,CAB - Other Environmental Services,Sakarat Bromabait ,,,1,,CRPOI0005806,Killgerm Chemicals Ltd,,07/11/2024,,264.60
ENVS - Environmental Services,CAC - Parks & Cemeteries,Obtain Environment Agency Licence Treat Japanese Knotweed ,,,1,,CRPOI0005808,Lancashire Wildlife Trust,,07/11/2024,,420.00
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 07.10.24 ,,,1,,CRINV0005737,Oyster Partnership,,12/11/2024,,877.50
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 07.10.24,,,1,,CRINV0005738,Oyster Partnership,,12/11/2024,,"1,185.60"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 18.08.24 ,,,1,,CRINV0005741,Carrington West Limited,,12/11/2024,,"1,191.88"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 25.08.24 ,,,1,,CRINV0005742,Carrington West Limited,,12/11/2024,,794.58
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 08.09.24,,,1,,CRINV0005743,Carrington West Limited,,12/11/2024,,"1,568.26"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 15.09.24 ,,,1,,CRINV0005744,Carrington West Limited,,12/11/2024,,"1,568.26"
REGN - Regeneration & Housing,FAF - Strategic Housing,Safe Accommodation,,,1,,CRINV0005748,Harv Domestic Violence Team,,12/11/2024,,"33,184.00"
REGN - Regeneration & Housing,FAB - Facilities,Repairs - Scaitcliffe Ladies Toilets,,,1,,CRINV0005757,Pilkington Bros (Church) Ltd,,12/11/2024,,371.03
REGN - Regeneration & Housing,FAB - Facilities,Works undertaken at Mercer Park,,,1,,CRINV0005768,Pilkington Bros (Church) Ltd,,12/11/2024,,"2,963.40"
PLAN - Planning & Transportation,EAD - Planning,Advertising - Acc Observer,,,1,,CRINV0005778,People Scout Limited,,12/11/2024,,270.14
PLAN - Planning & Transportation,EAD - Planning,Subcriptions 18.10.24 - 17.10.25,,,1,,CRINV0005782,Haymarket Media Group Ltd,,12/11/2024,,"7,290.00"
PLAN - Planning & Transportation,EAD - Planning,Agency staff w/e 13.10.24 ,,,1,,CRINV0005785,Vivid Resourcing,,12/11/2024,,"2,130.00"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - W/c 07.10.24 ,,,1,,CRINV0005787,Oyster Partnership,,12/11/2024,,"2,428.20"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Staff W/E 13.10.24 ,,,1,,CRINV0005800,Proman Supply Chain Ltd,,12/11/2024,,780.91
ENVS - Environmental Services,CAC - Parks & Cemeteries,Staff W/E 13.10.24. ,,,1,,CRINV0005802,Proman Supply Chain Ltd,,12/11/2024,,"1,064.88"
ENVS - Environmental Services,CAF - CVMU,Parts,,,1,,CRINV0005822,Chorley Nissan,,12/11/2024,,319.84
ENVS - Environmental Services,CAF - CVMU,Vehicle parts,,,1,,CRINV0005829,Dennis Eagle Limited,,12/11/2024,,365.45
ENVS - Environmental Services,CAF - CVMU,Steam cleaning of vehicles,,,1,,CRINV0005834,Keep Em Clean,,12/11/2024,,262.50
ENVS - Environmental Services,CAF - CVMU,Steam cleaning of refuse vehicles,,,1,,CRINV0005840,Keep Em Clean,,12/11/2024,,262.50
ENVS - Environmental Services,CAF - CVMU,Repairs to vehicles,,,1,,CRINV0005845,Monks Contractors Limited,,12/11/2024,,504.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Deep cleaning of Chapel,,,1,,CRINV0005863,Zagota Creations Ltd,,12/11/2024,,810.00
ENVS - Environmental Services,CAB - Other Environmental Services,Vehicle Hire 16.10.24,,,1,,CRINV0005918,Stanley Brothers (Tippers) Ltd,,12/11/2024,,648.00
ENVS - Environmental Services,CAE - Waste Services,Temp Staff  20.10.24 ,,,1,,CRINV0005926,Rapid Recruitment Ltd,,12/11/2024,,"2,226.37"
RESO - Resources,AAE - Residual Leisure,Household Support Fund Round 5 Delivery,,,1,,CRINV0005944,Hyndburn Leisure,,12/11/2024,,"349,138.00"
PLAN - Planning & Transportation,EAC - Green Infrastructure,5 X stake knocker and delivery,,,1,,CRINV0005969,Trees Please Ltd,,12/11/2024,,264.00
ENVS - Environmental Services,CAD - Town Centre & Markets,Funding for Switch on Rishton Event,,,1,,CRINV0006008,St Peters & St Pauls Parish Church,,12/11/2024,,250.00
PLAN - Planning & Transportation,EAA - Building Control,Temp Staff w/e 25.10.24. ,,,1,,CRINV0006045,Deekay Tech Recruitment Ltd,,12/11/2024,,606.48
ENVS - Environmental Services,CAC - Parks & Cemeteries,CCTV Hire - 28.09.24 - 25.10.24,,,1,,CRINV0006088,Rosslee Construction Ltd,,12/11/2024,,"1,056.00"
REGN - Regeneration & Housing,FAD - Housing Advice,Rent in advance,,,1,,CRINV0006121,Accent Homes Ltd,,12/11/2024,,423.10
ENVS - Environmental Services,CAC - Parks & Cemeteries,Buriel services,,,1,,CRINV0006161,James O Garnett Ltd,,12/11/2024,,"1,680.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Buriel services,,,1,,CRINV0006162,James O Garnett Ltd,,12/11/2024,,"1,920.00"
RESO - Resources,AAB - Benefits & Customer Contact,Whinney Hill 06/11/24,,,1,,CRINV0006183,Ada Glossop Ltd,,12/11/2024,,"1,618.31"
PLAN - Planning & Transportation,EAA - Building Control,Temp Staff W/E 1.11.24,,,1,,CRINV0006198,Deekay Tech Recruitment Ltd,,12/11/2024,,"1,406.94"
ENVS - Environmental Services,CAA - Environmental Maintenance,Period: 1.10.24 to 31.10.24,,,1,,CRINV0006202,E.On Next Energy - A-54DE8BBA,,12/11/2024,,467.55
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional Services - Market Chamber Development,,,1,,CRINV0006203,Perfect Circle JV Ltd,,12/11/2024,,"6,502.82"
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional Services,,,1,,CRINV0006204,Perfect Circle JV Ltd,,12/11/2024,,"17,601.41"
ENVS - Environmental Services,CAA - Environmental Maintenance,October 2024 Fees,,,1,,CRINV0006206,Rider Levett Bucknall Uk Ltd,,12/11/2024,,"5,082.39"
ENVS - Environmental Services,CAA - Environmental Maintenance,October 2024 Fees,,,2,,CRINV0006206,Rider Levett Bucknall Uk Ltd,,12/11/2024,,"5,082.40"
ENVS - Environmental Services,CAA - Environmental Maintenance,October 2024 Fees,,,3,,CRINV0006206,Rider Levett Bucknall Uk Ltd,,12/11/2024,,"5,082.41"
REGN - Regeneration & Housing,FAB - Facilities,Period: 30.9.24 to 31.10.24,,,1,,CRINV0006208,Crown Gas and Power Ltd - L054813 Ossy Civic Theat,,12/11/2024,,286.69
RESO - Resources,AAB - Benefits & Customer Contact,Charges - Oct 24,,,1,,CRINV0006209,Cheval Social Management,,12/11/2024,,"1,236.24"
REGN - Regeneration & Housing,FAB - Facilities,Electricity Invoice,,,1,,CRINV0006237,Crown Gas and Power Ltd - P002258 Ossy Civic Theat,,12/11/2024,,696.79
ENVS - Environmental Services,CAA - Environmental Maintenance,Scape NCF E&W,,,1,,CRINV0006240,Morgan Sindall Construction & Infrastructure Ltd,,12/11/2024,,"185,838.19"
ENVS - Environmental Services,CAA - Environmental Maintenance,SCAPE NCF E&W,,,2,,CRINV0006240,Morgan Sindall Construction & Infrastructure Ltd,,12/11/2024,,"55,356.05"
ENVS - Environmental Services,CAA - Environmental Maintenance,SCAPE NCF E&W,,,3,,CRINV0006240,Morgan Sindall Construction & Infrastructure Ltd,,12/11/2024,,"154,206.17"
ENVS - Environmental Services,CAD - Town Centre & Markets,Christmas Lights 24 - Deposit,,,1,,CRINV0006254,Scott Dawson Advertising Ltd,,12/11/2024,,"12,000.00"
REGN - Regeneration & Housing,FAB - Facilities,Supply and Install new steel door set with double lock,,,1,,CRPOI0005767,Pilkington Bros (Church) Ltd,,12/11/2024,,"3,061.36"
ENVH - Environmental Health,BAB - Environmental Protection,Night time noise service contribution 2024 -2025,,,1,,CRPOI0005783,Blackburn With Darwen Borough Council,,12/11/2024,,"5,475.00"
REGN - Regeneration & Housing,FAB - Facilities,Christmas Trees,,,1,,CRPOI0005877,Bolton Christmas Trees,,12/11/2024,,"8,598.00"
REGN - Regeneration & Housing,FAB - Facilities,Christmas Trees,,,2,,CRPOI0005877,Bolton Christmas Trees,,12/11/2024,,72.00
ENVS - Environmental Services,CAB - Other Environmental Services,HVO fuel,,,1,,CRPOI0006026,Certas Energy,,12/11/2024,,"22,224.49"
ENVS - Environmental Services,CAA - Environmental Maintenance,Accrington Town Square,,,1,,CRINV0005571,Morgan Sindall Construction & Infrastructure Ltd,,14/11/2024,,"222,699.76"
ENVS - Environmental Services,CAA - Environmental Maintenance,Accrington Town Square,,,2,,CRINV0005571,Morgan Sindall Construction & Infrastructure Ltd,,14/11/2024,,"66,336.10"
ENVS - Environmental Services,CAA - Environmental Maintenance,Accrington Town Square,,,3,,CRINV0005571,Morgan Sindall Construction & Infrastructure Ltd,,14/11/2024,,"184,793.42"
LEGL - Legal & Democratic,DAB - Human Resources,DHR Funding,,,1,,CRINV0005890,Lancashire County Council,,14/11/2024,,633.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Invoice 2 of 2 - Evaluation of the Great Harwood Memorial Park Project,,,1,,CRINV0005893,Proffitts Investing In Communities,,14/11/2024,,"1,440.00"
ENVS - Environmental Services,CAF - CVMU,Vehicle parts,,,1,,CRINV0005919,Dennis Eagle Limited,,14/11/2024,,597.46
ENVS - Environmental Services,CAF - CVMU,Vehicle parts,,,1,,CRINV0005921,Dennis Eagle Limited,,14/11/2024,,590.89
ENVS - Environmental Services,CAF - CVMU,Vehicle parts and materials,,,1,,CRINV0005928,Terberg Matec Uk,,14/11/2024,,"1,380.98"
ENVS - Environmental Services,CAF - CVMU,Vehicle Parts,,,1,,CRINV0005932,Bucher Municipal Ltd,,14/11/2024,,293.06
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 27.10.24,,,1,,CRINV0005990,Macdonald & Company,,14/11/2024,,822.05
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 27.10.24 ,,,2,,CRINV0005990,Macdonald & Company,,14/11/2024,,822.05
PLAN - Planning & Transportation,EAD - Planning,Agency Costs Period Ending: 06-Oct-2024,,,1,,CRINV0006018,Vivid Resourcing,,14/11/2024,,"2,160.00"
PLAN - Planning & Transportation,EAD - Planning,Office Chair,,,1,,CRINV0006103,Bevlan Office Interiors Ltd,,14/11/2024,,477.72
RESO - Resources,AAG - Management Resources,Vehicle Rental Period 09/09/2024 - 08/10/2024,,,1,,CRINV0006118,Lex Autolease Ltd,,14/11/2024,,556.73
RESO - Resources,AAG - Management Resources,Vehicle Rental Period 09/09/2024 - 08/10/2024,,,2,,CRINV0006118,Lex Autolease Ltd,,14/11/2024,,556.74
RESO - Resources,AAG - Management Resources,Vehicle Rental Period 09/09/2024 - 08/10/2024,,,3,,CRINV0006118,Lex Autolease Ltd,,14/11/2024,,46.55
PLAN - Planning & Transportation,EAD - Planning,Temp Staff w/e 03/11/24,,,1,,CRINV0006149,Macdonald & Company,,14/11/2024,,680.61
PLAN - Planning & Transportation,EAD - Planning,Temp Staff w/e 03/11/24,,,2,,CRINV0006149,Macdonald & Company,,14/11/2024,,680.59
RESO - Resources,AAC - Chief Executive,Growth Lancashire = LA Core Funding Contribution - 24-25,,,1,,CRINV0006181,Blackburn With Darwen Borough Council,,14/11/2024,,"15,000.00"
LEGL - Legal & Democratic,DAG - Elections,Printing,,,1,,CRINV0006184,Civica Election Services,,14/11/2024,,"1,350.89"
LEGL - Legal & Democratic,DAG - Elections,Printing,,,2,,CRINV0006184,Civica Election Services,,14/11/2024,,824.18
