Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,Payment Date,,Amount Paid
LEGL - Legal & Democratic,DAB - Human Resources,Writing Trail Funding,,,1,,CRINV0006019,Scott Dawson Advertising Ltd,,05/11/2024,,"7,200.00"
LEGL - Legal & Democratic,DAB - Human Resources,Market Chambers Design and Artwork Posters,,,1,,CRINV0006020,Brands Inside Out Limited,,05/11/2024,,735.00
LEGL - Legal & Democratic,DAB - Human Resources,Uncultured Creatives Commission,,,1,,CRINV0006021,The Super Slow Way Ltd,,05/11/2024,,"6,000.00"
ENVS - Environmental Services,CAE - Waste Services,"40,000 X Single sided calendars ",,,1,,CRPOI0005300,Ellison Printing Co.,,05/11/2024,,"1,208.40"
ENVS - Environmental Services,CAE - Waste Services,"40,000 X Single sided calendars ",,,2,,CRPOI0005300,Ellison Printing Co.,,05/11/2024,,"1,208.40"
ENVS - Environmental Services,CAE - Waste Services,"40,000 X Single sided calendars 4000 ",,,3,,CRPOI0005300,Ellison Printing Co.,,05/11/2024,,"1,208.40"
ENVS - Environmental Services,CAB - Other Environmental Services,Brodikil Whole Wheat ,,,1,,CRPOI0005626,Killgerm Chemicals Ltd,,05/11/2024,,226.80
ENVS - Environmental Services,CAB - Other Environmental Services,100 Medium Bait Trays ,,,2,,CRPOI0005626,Killgerm Chemicals Ltd,,05/11/2024,,48.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,2 X Button Seats ,,,1,,CRPOI0005627,Wicksteed Leisure Limited,,05/11/2024,,169.30
ENVS - Environmental Services,CAC - Parks & Cemeteries,2 X Button Seat Fixing Bar ,,,2,,CRPOI0005627,Wicksteed Leisure Limited,,05/11/2024,,146.95
ENVS - Environmental Services,CAC - Parks & Cemeteries,4 X Button Seat Dowel Pin ,,,3,,CRPOI0005627,Wicksteed Leisure Limited,,05/11/2024,,19.15
ENVS - Environmental Services,CAC - Parks & Cemeteries,2 X Slotted Washer ,,,4,,CRPOI0005627,Wicksteed Leisure Limited,,05/11/2024,,15.98
ENVS - Environmental Services,CAC - Parks & Cemeteries,4 X Tab Washer ,,,5,,CRPOI0005627,Wicksteed Leisure Limited,,05/11/2024,,17.62
