Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,,Payment Date,,Amount Paid
RESO - Resources,AAF - Finance,November Land Registry Fee,,,135,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,136,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,137,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,138,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,139,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,140,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,141,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,142,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,143,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,144,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,145,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,146,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,147,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,148,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,149,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,150,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,151,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,152,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,153,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,154,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,155,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,156,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,157,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,158,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,159,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,160,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,161,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,162,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,163,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,164,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,165,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,166,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,167,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,168,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,169,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,170,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,171,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,172,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,173,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,174,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,175,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,176,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,177,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,178,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,179,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,180,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,181,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,182,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,183,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,184,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,185,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,186,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,187,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,188,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,189,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,190,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,191,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,192,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,193,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,194,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,195,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,196,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,197,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,198,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,199,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,200,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,201,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,202,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,203,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,204,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,205,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,206,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,207,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,208,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,209,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,210,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,211,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,212,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,213,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,214,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,215,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,216,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,217,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,218,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,219,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,220,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,221,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,222,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,223,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,224,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,225,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,226,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,227,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,228,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,229,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,230,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,231,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,232,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,233,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,234,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,235,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,236,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,237,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,238,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,239,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,240,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,241,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,242,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,243,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,244,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,245,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,246,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,247,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,248,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,249,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,250,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,251,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,252,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,253,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,254,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,255,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,256,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,257,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,258,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,Water Scaitcliffe Oct 24,,,1,,CRINV0006729,Water Plus - 4081791400 Canteen Scaitcliffe House,,,05/12/2024,,719.95
RESO - Resources,AAF - Finance,"Water, Scaitcliffe Nove 24",,,1,,CRINV0006730,Water Plus - 4081791400 Canteen Scaitcliffe House,,,05/12/2024,,737.76
REGN - Regeneration & Housing,FAB - Facilities,PPM - Annual RSD and fuel pump shutter service,,,1,,CRPOI0006268,Roller Shutter Services Ltd,,,05/12/2024,,360.00
REGN - Regeneration & Housing,FAB - Facilities,Inspection of the building Banner - Broadway offices,,,1,,CRPOI0006306,Rutters,,,05/12/2024,,900.00
ENVS - Environmental Services,CAE - Waste Services,Breakdown cover onlabel printer,,,1,,CRPOI0006395,Dura Id Solutions Limited,,,05/12/2024,,336.00
ENVS - Environmental Services,CAB - Other Environmental Services,Rollerseal 1.5m Lengths ,,,1,,CRPOI0006396,Killgerm Chemicals Ltd,,,05/12/2024,,215.14
ENVS - Environmental Services,CAB - Other Environmental Services,AF Dispatching Tool ,,,2,,CRPOI0006396,Killgerm Chemicals Ltd,,,05/12/2024,,24.30
ENVS - Environmental Services,CAB - Other Environmental Services, AF Universal Bin Plug,,,3,,CRPOI0006396,Killgerm Chemicals Ltd,,,05/12/2024,,21.60
ENVS - Environmental Services,CAB - Other Environmental Services, AA Batteries (pk of 10) ,,,4,,CRPOI0006396,Killgerm Chemicals Ltd,,,05/12/2024,,9.61
ENVS - Environmental Services,CAB - Other Environmental Services, AAA Batteries (pk of 10) ,,,5,,CRPOI0006396,Killgerm Chemicals Ltd,,,05/12/2024,,17.28
LEGL - Legal & Democratic,DAA - Democratic Services,Annual professional fees for up to 5 officers,,,1,,CRPOI0006610,Association Of Democratic Services Officers,,,05/12/2024,,297.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,3500 Polyanthus Daffodil Mix,,,1,,CRPOI0006785,Les Halman Nurseries Ltd,,,05/12/2024,,"1,344.00"
LEGL - Legal & Democratic,DAC - Legal,Professional Fees,,,1,,CRINV0006218,11 KBW,,,10/12/2024,,"3,300.00"
ENVH - Environmental Health,BAA - Housing Standards,Temp staff W/C 28.10.24,,,1,,CRINV0006363,Oyster Partnership,,,10/12/2024,,"1,207.44"
ENVH - Environmental Health,BAA - Housing Standards,Temp staff w/c 4.11.24,,,1,,CRINV0006364,Oyster Partnership,,,10/12/2024,,"1,528.80"
ENVH - Environmental Health,BAB - Environmental Protection,Agency staff - w/e 10.11.24 ,,,1,,CRINV0006365,Vivid Resourcing,,,10/12/2024,,"2,220.00"
ENVH - Environmental Health,BAA - Housing Standards,Temp staff w/c 4.11.24,,,1,,CRINV0006366,Oyster Partnership,,,10/12/2024,,"1,642.37"
PLAN - Planning & Transportation,EAD - Planning,Temp staff w/c 4.11.24,,,1,,CRINV0006367,Oyster Partnership,,,10/12/2024,,"2,154.60"
ENVH - Environmental Health,BAA - Housing Standards,Temp staff w/c 4.11.24,,,1,,CRINV0006369,Oyster Partnership,,,10/12/2024,,854.82
PLAN - Planning & Transportation,EAC - Green Infrastructure,Climate action fund Brookside,,,1,,CRINV0006400,Lancashire Wildlife Trust,,,10/12/2024,,"7,689.60"
ENVS - Environmental Services,CAC - Parks & Cemeteries,TeamViewer Business Year Subscription 2025,,,1,,CRINV0006412,Team Viewer Gmbh,,,10/12/2024,,428.30
REGN - Regeneration & Housing,FAB - Facilities,Ceiling plasterwork,,,1,,CRINV0006446,Pilkington Bros (Church) Ltd,,,10/12/2024,,"4,120.80"
REGN - Regeneration & Housing,FAB - Facilities,Repairs to extrenal vents/covers,,,1,,CRINV0006447,Pilkington Bros (Church) Ltd,,,10/12/2024,,"2,478.00"
REGN - Regeneration & Housing,FAB - Facilities,Relocate outside tap,,,1,,CRINV0006448,Pilkington Bros (Church) Ltd,,,10/12/2024,,519.72
ENVS - Environmental Services,CAC - Parks & Cemeteries,Agency Staff W/C 04/11/2024 ,,,1,,CRINV0006486,Proman Supply Chain Ltd,,,10/12/2024,,814.32
ENVS - Environmental Services,CAC - Parks & Cemeteries,Agency Staff W/C 04/11/2024,,,1,,CRINV0006487,Proman Supply Chain Ltd,,,10/12/2024,,312.36
PLAN - Planning & Transportation,EAC - Green Infrastructure,Broken post removal and replacement,,,1,,CRINV0006490,Sterling Construction (Services) Ltd,,,10/12/2024,,360.00
PLAN - Planning & Transportation,EAC - Green Infrastructure,Replace damanged / rotton fence on nuttal street.,,,1,,CRINV0006492,Sterling Construction (Services) Ltd,,,10/12/2024,,552.00
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Take out damaged bollard and reset,,,1,,CRINV0006506,Sterling Construction (Services) Ltd,,,10/12/2024,,576.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Key & Bin & Lid,,,1,,CRINV0006545,Earth Anchors Ltd,,,10/12/2024,,"1,017.60"
ENVS - Environmental Services,CAE - Waste Services,Hire of vehicle 13.11.24,,,1,,CRINV0006549,Stanley Brothers (Tippers) Ltd,,,10/12/2024,,648.00
ENVS - Environmental Services,CAF - CVMU,Shock absorbers,,,1,,CRINV0006559,Dennis Eagle Limited,,,10/12/2024,,748.84
PLAN - Planning & Transportation,EAC - Green Infrastructure,Plant seeds,,,1,,CRINV0006581,J A Jones And Sons,,,10/12/2024,,861.60
PLAN - Planning & Transportation,EAC - Green Infrastructure,Plant seeds,,,2,,CRINV0006581,J A Jones And Sons,,,10/12/2024,,58.00
PLAN - Planning & Transportation,EAD - Planning,Temp staff 10.11.24  ,,,1,,CRINV0006635,Vivid Resourcing,,,10/12/2024,,"2,160.00"
LEGL - Legal & Democratic,DAA - Democratic Services,Osw Remembrance Sunday,,,1,,CRINV0006638,Darwen Brass Band,,,10/12/2024,,400.00
LEGL - Legal & Democratic,DAG - Elections,Mail services,,,1,,CRINV0006641,Royal Mail Group Ltd,,,10/12/2024,,324.73
ENVS - Environmental Services,CAC - Parks & Cemeteries,Oakhill Park refurb of tennis couts,,,1,,CRINV0006700,Sportex Group Limited,,,10/12/2024,,"1,292.87"
REGN - Regeneration & Housing,FAD - Housing Advice,Accommodation - 25.11.24-2.12.24,,,1,,CRINV0006715,Hill View (Private) Hotel,,,10/12/2024,,455.00
REGN - Regeneration & Housing,FAD - Housing Advice,Accommodation - 25.11.24-2.12.24 ,,,1,,CRINV0006716,Hill View (Private) Hotel,,,10/12/2024,,455.00
PLAN - Planning & Transportation,EAC - Green Infrastructure,Invoice 3 of 4 - Bullough Park,,,1,,CRINV0006721,Proffitts Investing In Communities,,,10/12/2024,,"1,650.00"
REGN - Regeneration & Housing,FAB - Facilities,"Clocks Amenity Lighting 01.03.2024 -
  30.09.2024",,,1,,CRINV0006724,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,10/12/2024,,43.03
REGN - Regeneration & Housing,FAB - Facilities,Viaduct Amenity Lighting 01.03.2024 - 30.09.2024,,,2,,CRINV0006724,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,10/12/2024,,"1,269.46"
REGN - Regeneration & Housing,FAB - Facilities,Bus Shelters Amenity Lighting 01.03.2024 - 30.09.2024,,,3,,CRINV0006724,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,10/12/2024,,466.19
REGN - Regeneration & Housing,FAB - Facilities,Car Parks Amenity Lighting 01.03.2024 - 30.09.2024,,,4,,CRINV0006724,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,10/12/2024,,"1,004.09"
REGN - Regeneration & Housing,FAB - Facilities,CCTV Amenity Lighting 01.03.2024 - 30.09.2024,,,5,,CRINV0006724,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,10/12/2024,,86.06
REGN - Regeneration & Housing,FAB - Facilities,Clocks Amenity Lighting 01.03.2024 - 30.09.2024,,,6,,CRINV0006724,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,10/12/2024,,129.99
REGN - Regeneration & Housing,FAB - Facilities,Viaduct Amenity Lighting 01.03.2024 - 30.09.2024,,,7,,CRINV0006724,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,10/12/2024,,"3,835.07"
REGN - Regeneration & Housing,FAB - Facilities,Bus Shelters Amenity Lighting 01.03.2024 - 30.09.2024,,,8,,CRINV0006724,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,10/12/2024,,"1,408.36"
REGN - Regeneration & Housing,FAB - Facilities,Car Parks Amenity Lighting 01.03.2024 - 30.09.2024,,,9,,CRINV0006724,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,10/12/2024,,"3,033.40"
REGN - Regeneration & Housing,FAB - Facilities,CCTV Amenity Lighting 01.03.2024 - 30.09.2024,,,10,,CRINV0006724,SSE - 8700217449 Amenity Lighting Unmetered Supply,,,10/12/2024,,260.00
RESO - Resources,AAG - Management Resources,Car Lease 21-Dec-2024 - 20-Dec-2025,,,1,,CRINV0006749,Lex Autolease Ltd,,,10/12/2024,,"1,576.80"
RESO - Resources,AAG - Management Resources,Car Lease 21-Dec-2024 - 20-Dec-2025,,,2,,CRINV0006749,Lex Autolease Ltd,,,10/12/2024,,"1,576.80"
RESO - Resources,AAG - Management Resources,Car Lease 21-Dec-2024 - 20-Dec-2025,,,3,,CRINV0006749,Lex Autolease Ltd,,,10/12/2024,,604.22
ENVS - Environmental Services,CAA - Environmental Maintenance,November 2024 fees,,,1,,CRINV0006753,Rider Levett Bucknall Uk Ltd,,,10/12/2024,,"4,473.89"
ENVS - Environmental Services,CAA - Environmental Maintenance,November 2024 Fees,,,2,,CRINV0006753,Rider Levett Bucknall Uk Ltd,,,10/12/2024,,"4,473.88"
ENVS - Environmental Services,CAA - Environmental Maintenance,November 2024 fees,,,3,,CRINV0006753,Rider Levett Bucknall Uk Ltd,,,10/12/2024,,"4,473.87"
RESO - Resources,AAG - Management Resources,Vehicle Lease 12-Oct-2024 - 11-Nov-2024,,,1,,CRINV0006754,Lex Autolease Ltd,,,10/12/2024,,120.48
RESO - Resources,AAG - Management Resources,Vehicle Lease 12-Oct-2024 - 11-Nov-2024,,,2,,CRINV0006754,Lex Autolease Ltd,,,10/12/2024,,120.48
RESO - Resources,AAG - Management Resources,Vehicle Lease 12-Oct-2024 - 11-Nov-2024,,,3,,CRINV0006754,Lex Autolease Ltd,,,10/12/2024,,38.81
RESO - Resources,AAG - Management Resources,Vehicle Lease 09-Oct-2024 - 08-Nov-2024,,,1,,CRINV0006755,Lex Autolease Ltd,,,10/12/2024,,556.73
RESO - Resources,AAG - Management Resources,Vehicle Lease 09-Oct-2024 - 08-Nov-2024,,,2,,CRINV0006755,Lex Autolease Ltd,,,10/12/2024,,556.74
RESO - Resources,AAG - Management Resources,Vehicle Lease 09-Oct-2024 - 08-Nov-2024,,,3,,CRINV0006755,Lex Autolease Ltd,,,10/12/2024,,46.55
RESO - Resources,AAG - Management Resources,Vehicle Lease 02-Dec-2024 - 01-Dec-2025,,,1,,CRINV0006757,Lex Autolease Ltd,,,10/12/2024,,"2,017.80"
RESO - Resources,AAG - Management Resources,Vehicle Lease 02-Dec-2024 - 01-Dec-2025,,,2,,CRINV0006757,Lex Autolease Ltd,,,10/12/2024,,"2,017.80"
RESO - Resources,AAG - Management Resources, Vehicle Lease 02-Dec-2024 - 01-Dec-2025,,,3,,CRINV0006757,Lex Autolease Ltd,,,10/12/2024,,779.62
ENVS - Environmental Services,CAA - Environmental Maintenance,Provision of legal services,,,1,,CRINV0006760,Womble Bond Dickinson (Uk) LLP,,,10/12/2024,,"33,440.60"
ENVS - Environmental Services,CAE - Waste Services,LFill General Trade Waste and taxes,,,1,,CRINV0006763,Suez Recycling And Recovery Uk Ltd,,,10/12/2024,,"11,879.86"
ENVS - Environmental Services,CAF - CVMU,Service hedge trimmer - Parts,,,1,,CRINV0006764,Rob Mercer,,,10/12/2024,,238.09
ENVS - Environmental Services,CAF - CVMU,Service hedge trimmer - Labour,,,2,,CRINV0006764,Rob Mercer,,,10/12/2024,,85.00
RESO - Resources,AAB - Benefits & Customer Contact,Agency staff - w/e 29.11.24 ,,,1,,CRINV0006786,Eden Brown Limited,,,10/12/2024,,"1,212.12"
REGN - Regeneration & Housing,FAD - Housing Advice,Accommodation  - 11/11 - 15/11/24 ,,,1,,CRINV0006796,Molesworth Hotel,,,10/12/2024,,379.20
PLAN - Planning & Transportation,EAA - Building Control,Agency staff - w/e 29.11.24,,,1,,CRINV0006821,Deekay Tech Recruitment Ltd,,,10/12/2024,,"1,439.04"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Water Whiteash 03.11.24 - 02.12.24,,,1,,CRINV0006843,Water Plus - 6002491027 White Ash Playing Fields,,,10/12/2024,,373.46
