Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,,Payment Date,,Amount Paid
ENVS - Environmental Services,CAD - Town Centre & Markets,Rishton Switch On,,,1,,CRINV0006698,St Peters & St Pauls Parish Church,,,03/12/2024,,900.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,540 X 60 Litre bags of well-rotted farm manure ,,,1,,CRPOI0006225,Origin Amenity Solutions,,,03/12/2024,,"3,207.60"
ENVS - Environmental Services,CAE - Waste Services,24 X Locks for Maelor Trafflex litter bins ,,,1,,CRPOI0006255,Broxap Ltd,,,03/12/2024,,144.00
ENVS - Environmental Services,CAE - Waste Services,24 X 13mm Hex Keys for the Derby litter bins ,,,2,,CRPOI0006255,Broxap Ltd,,,03/12/2024,,144.00
ENVS - Environmental Services,CAE - Waste Services,400 X Grey 240 litre wheeled bins ,,,1,,CRPOI0006279,Ipl Plastics (Uk) Ltd,,,03/12/2024,,"9,048.00"
ENVS - Environmental Services,CAE - Waste Services,100 X Blue 240 litre wheeled bins,,,2,,CRPOI0006279,Ipl Plastics (Uk) Ltd,,,03/12/2024,,"2,262.00"
ENVS - Environmental Services,CAE - Waste Services,100 X Green 240 litre wheeled bins ,,,3,,CRPOI0006279,Ipl Plastics (Uk) Ltd,,,03/12/2024,,"2,262.00"
ENVS - Environmental Services,CAB - Other Environmental Services,Hire of Jetter (1/2 day) - clear wheel wash lagoon and gullies,,,1,,CRPOI0006281,Monks Contractors Limited,,,03/12/2024,,480.00
ENVS - Environmental Services,CAB - Other Environmental Services,Removal of approx 6.5 tonne Silt,,,2,,CRPOI0006281,Monks Contractors Limited,,,03/12/2024,,528.00
RESO - Resources,AAB - Benefits & Customer Contact,DWP LADS Programme,,,1,,CRPOI0006284,Capita  Business Services Ltd,,,03/12/2024,,"2,215.84"
RESO - Resources,AAD - ICT,1 x Apple iPhone 15 plus - Black 5G Smartphone ,,,1,,CRPOI0006373,Insight Direct (Uk) Ltd,,,03/12/2024,,782.39
ENVS - Environmental Services,CAC - Parks & Cemeteries,5 X Breathable waterproof hi-vis jackets ,,,1,,CRPOI0006572,"Bubbles, Brushes & Wiper Co Ltd",,,03/12/2024,,219.96
ENVS - Environmental Services,CAC - Parks & Cemeteries,5 X Breathable waterproof hi-vis pants,,,2,,CRPOI0006572,"Bubbles, Brushes & Wiper Co Ltd",,,03/12/2024,,137.88
LEGL - Legal & Democratic,DAB - Human Resources,Members training costs,,,1,,CRPOI0006639,North West Employers,,,03/12/2024,,497.46
REGN - Regeneration & Housing,FAD - Housing Advice,"Transport household items from Accrington to Oswaldtwsitle.
Supply and fit key safe.
Clear and excavate garden.
Lay concrete slab for mobility scooter to be safely stored.
Remove gate to access.",,,1,,CRPOI0006708,JPS Property Services Limited,,,03/12/2024,,300.00
REGN - Regeneration & Housing,FAD - Housing Advice,"Transport household items from Accrington to Oswaldtwsitle.
Supply and fit key safe.
Clear and excavate garden.
Lay concrete slab for mobility scooter to be safely stored.
Remove gate to access.",,,1,,CRPOI0006709,JPS Property Services Limited,,,03/12/2024,,660.00
RESO - Resources,AAF - Finance,Charges - October 24,,,1,,CRINV0006167,G4S Cash Solutions (UK) Limited,,,05/12/2024,,751.38
PLAN - Planning & Transportation,EAD - Planning,Advert 08.11.24,,,1,,CRINV0006295,People Scout Limited,,,05/12/2024,,387.22
ENVS - Environmental Services,CAF - CVMU,Cleaning of vehicles - 28.10.24,,,1,,CRINV0006323,Keep Em Clean,,,05/12/2024,,262.50
ENVS - Environmental Services,CAF - CVMU,Vehicle parts,,,1,,CRINV0006385,Dennis Eagle Limited,,,05/12/2024,,756.84
ENVS - Environmental Services,CAC - Parks & Cemeteries,refurbishing benches and plaques,,,1,,CRINV0006392,Ark Plastics Ltd,,,05/12/2024,,336.00
ENVS - Environmental Services,CAE - Waste Services,Hire of 8 Wheeler,,,1,,CRINV0006402,Stanley Brothers (Tippers) Ltd,,,05/12/2024,,648.00
LEGL - Legal & Democratic,DAA - Democratic Services,Remembrance Sunday Traffic Management 2024,,,1,,CRINV0006411,Primus Traffic Management,,,05/12/2024,,"1,661.40"
