,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Haworth Art Gallery,Equipment-Resale,GOODS FOR RESALE IN SHOP,B000024222/64481,The Natural French Soap Company,15 August 2023,279.65
Christmas Decs & Amenity Costs,Work Done Dlo-Highways,BANK MILL HOUSE - TRACE CABLES DISCONNECTED AND REMOVE,B000024224/27030,Lighting And Building Services Ltd,15 August 2023,240.00
Accrington Crematorium,Gas,GAS BILL 30.03.23 - 30.06.23 ACC CREM,B000024224/68037,Sefe Energy Ltd,15 August 2023,"8,524.86"
Cannon St Acc,Gas,GAS BILL 30.03.23 - 30.06.23 CANNON ST,B000024224/68037,Sefe Energy Ltd,15 August 2023,121.52
Cannon St Acc,Gas,GAS BILL 30.03.23 - 30.06.23 EAGLE ST OAP,B000024224/68037,Sefe Energy Ltd,15 August 2023,17.15
Haworth Art Gallery,Gas,GAS BILL 30.03.23 - 30.06.23 HAWORTH ART GALLERY,B000024224/68037,Sefe Energy Ltd,15 August 2023,"1,579.34"
Haworth Stables,Gas,GAS BILL 30.03.23 - 30.06.23 HAWORTH STABLES,B000024224/68037,Sefe Energy Ltd,15 August 2023,704.64
Hyndburn Cemeteries,Gas,GAS BILL 30.03.23 - 30.06.23 ACC CEM OFFICE,B000024224/68037,Sefe Energy Ltd,15 August 2023,447.12
Hyndburn Cemeteries,Gas,GAS BILL 30.03.23 - 30.06.23 ACC CEM SERV BUILDING,B000024224/68037,Sefe Energy Ltd,15 August 2023,70.45
Leisure In Hyndburn,Gas,GAS BILL 30.03.23 - 30.06.23 ACC TOWN HALL,B000024224/68037,Sefe Energy Ltd,15 August 2023,"9,411.09"
Leisure In Hyndburn,Gas,GAS BILL 30.03.23 - 30.06.23 CLAYTON CIVIC,B000024224/68037,Sefe Energy Ltd,15 August 2023,443.90
Leisure In Hyndburn,Gas,GAS BILL 30.03.23 - 30.06.23 MERCER HALL,B000024224/68037,Sefe Energy Ltd,15 August 2023,"1,809.20"
Library St Depot,Gas,GAS BILL 30.03.23 - 30.06.23 CVMU,B000024224/68037,Sefe Energy Ltd,15 August 2023,"1,578.02"
Markets - Operations,Gas,GAS BILL 30.03.23 - 30.06.23 ACC MARKET HALL,B000024224/68037,Sefe Energy Ltd,15 August 2023,738.74
Parks & Open Spaces,Gas,GAS BILL 30.03.23 - 30.06.23 BULLOUGH PARK,B000024224/68037,Sefe Energy Ltd,15 August 2023,115.70
Parks & Open Spaces,Gas,GAS BILL 30.03.23 - 30.06.23 LOWERFOLD,B000024224/68037,Sefe Energy Ltd,15 August 2023,82.41
Parks & Open Spaces,Gas,GAS BILL 30.03.23 - 30.06.23 OAKHILL PARK,B000024224/68037,Sefe Energy Ltd,15 August 2023,129.27
Parks & Open Spaces,Gas,GAS BILL 30.03.23 - 30.06.23 RHYDDINGS PARK,B000024224/68037,Sefe Energy Ltd,15 August 2023,203.67
Parks & Open Spaces,Gas,GAS BILL 30.03.23 - 30.06.23 WILSONS,B000024224/68037,Sefe Energy Ltd,15 August 2023,800.19
Willows Lane Depot,Gas,GAS BILL 30.03.23 - 30.06.23 WILLOWS LANE,B000024224/68037,Sefe Energy Ltd,15 August 2023,762.50
Hmo,Agency Staff,TEMP STAFF W/C 10.07.23 ,B000024225/58852,Oyster Partnership,15 August 2023,"1,066.00"
Hmo,Agency Staff,STAFF WC 10.07.23 ,B000024225/58852,Oyster Partnership,15 August 2023,"1,834.56"
Housing Standards,Agency Staff,STAFF PE 23.7.23 ,B000024225/61657,G2 Recruitment Solutions,15 August 2023,"2,013.34"
Asylum Seekers,New Equipment,4 X OFFICE DESK AND DRAWER,B000024225/9535,Bevlan Office Interiors Ltd,15 August 2023,60.00
Climate Emergency Fund,New Equipment,4 X OFFICE DESK AND DRAWER,B000024225/9535,Bevlan Office Interiors Ltd,15 August 2023,240.00
Homes For Ukraine-Thankyou Pay,New Equipment,4 X OFFICE DESK AND DRAWER,B000024225/9535,Bevlan Office Interiors Ltd,15 August 2023,60.00
Housing Advice,New Equipment,4 X OFFICE DESK AND DRAWER,B000024225/9535,Bevlan Office Interiors Ltd,15 August 2023,120.00
Ath External Improvements,Contractor Other,DESIGN WORK FOR TOWN HALL,B000024226/52714,The Intelligent Design Centre Ltd,15 August 2023,720.00
Corporate Property Bus Unit,Agency Staff,TEMP STAFF - P/E 23.07.23,B000024226/61657,G2 Recruitment Solutions,15 August 2023,"1,215.00"
Housing Advice,Agency Staff,TEMP STAFF - P/E 23.07.23 ,B000024226/61860,Vivid Resourcing,15 August 2023,"1,640.88"
Administration Services,Office Consumables,STATIONERY,B000024231/67355,Ot Group Limited,15 August 2023,217.44
Climate Emergency Fund,Office Consumables,STATIONERY,B000024231/67355,Ot Group Limited,15 August 2023,38.25
Ukspf - Growth And New Busines,New Equipment,STATIONERY,B000024231/67355,Ot Group Limited,15 August 2023,38.25
Cvmu,Materials-Direct,EXHAUST,B000024232/42081,Townson Tractors,15 August 2023,465.14
Cvmu,Materials-Direct,SERVICE,B000024232/63930,Croft Commercials Transport Limited,15 August 2023,490.85
Cvmu,Materials-Direct,SHOCKER,B000024232/7688,Aebi Schmidt Uk Ltd,15 August 2023,824.46
Pest Control,Baits & Poisons,RATIMOR BRODI BLOCKS 5KG,B000024235/2419,Killgerm Chemicals Ltd,15 August 2023,36.72
Pest Control,Baits & Poisons,SAKARAT BRODIKIL 10KG,B000024235/2419,Killgerm Chemicals Ltd,15 August 2023,189.00
Waste Services,Protective Clothing,3M ULTRAFIT EAR PLUGS SNR 20,B000024235/666,"Bubbles, Brushes & Wiper Co Ltd",15 August 2023,139.96
Waste Services,Protective Clothing,SAFETY GLASSES CLEAR/ BLACK FRAME,B000024235/666,"Bubbles, Brushes & Wiper Co Ltd",15 August 2023,28.68
Waste Services,Protective Clothing,SAFETY TRAINERS SIZES 6/9/10/11,B000024235/666,"Bubbles, Brushes & Wiper Co Ltd",15 August 2023,118.10
Waste Services,Protective Clothing,SAFETY BOOTS 8/9/10,B000024235/666,"Bubbles, Brushes & Wiper Co Ltd",15 August 2023,219.05
Waste Services,Protective Clothing,ORANGE HI VIS VEST M/L/XL,B000024235/666,"Bubbles, Brushes & Wiper Co Ltd",15 August 2023,29.85
Waste Services,Protective Clothing,HI VIS ORANGE POLO T SHIRT M/L/XL,B000024235/666,"Bubbles, Brushes & Wiper Co Ltd",15 August 2023,139.86
Waste Services,Protective Clothing,HI VIS TROUSERS S/M/L/XL,B000024235/666,"Bubbles, Brushes & Wiper Co Ltd",15 August 2023,414.31
Waste Services,Protective Clothing,HI VIS WATERPROOF JACKET M/L/XL,B000024235/666,"Bubbles, Brushes & Wiper Co Ltd",15 August 2023,146.64
Waste Services,Protective Clothing,SUMO X5 GLOVES 9,B000024235/666,"Bubbles, Brushes & Wiper Co Ltd",15 August 2023,478.00
Ds7146 Rhyddings Mill/Works Os,General Repair & Maint Bldgs,MAINTENANCE,B000024242/62449,John Hogg Cleaning,15 August 2023,"1,000.00"
Housing Benefit Administration,Agency Staff,TEMP STAFF - W/E 06.08.23 ,B000024245/33923,Eden Brown Limited,15 August 2023,"1,010.10"
Markets - Operations,Cleaning Of Buildings,MONTHLY CLEANING CHARGES - TOILETS,B000024245/68396,Servicemaster Cs Aaa,15 August 2023,"1,988.05"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024247/30178,B3p Services Ltd,15 August 2023,"3,653.00"
Cvmu,Equipmnt Repair & Maint,WORK TO BE CARRIED OUT ON 2 PSTN LINES,B000024247/46800,Cloudcoco Limited,15 August 2023,650.00
Computer Services,Rental & Maint Software Misc,SUPPORT/SUBS VMWARE,B000024248/36434,Bytes Software Services Ltd,15 August 2023,"10,377.52"
Accountancy,New Equipment,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,23.98
Accrington Town Centre,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,27.96
Administration Services,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,8.99
Allotments,General Repair & Maint Bldgs,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,17.98
Computer Services,Disaster Planning,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,20.00
Computer Services,Mobiles, A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,87.91
Computer Services,Telephones,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,159.80
Corp & Dem Core,Marketing Communications,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,10.00
Corporate Property Bus Unit,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,41.94
Coviid 19,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,41.94
Cvmu,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,20.00
Development,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,69.90
Development Control B.U.,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,125.82
Dog Warden,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,14.83
Enforcement,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,52.07
Environmental Protection,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,73.90
Facilities Team,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,41.94
Facilities Team,New Equipment,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,20.00
Graphics & Communications,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,27.96
Haworth Art Gallery,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,41.94
Head Of Legal & Democratic Ser,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,23.98
Health Food & Safety,Civica Mobile Working,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,40.00
Health Food & Safety,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,87.88
Health Officers,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,22.97
Hmo,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,27.96
Housing Advice,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,69.90
Housing Benefit Administration,Bpr/Contact Centre,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,20.00
Housing Standards,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,50.93
Human Resources,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,67.92
Human Resources,New Equipment,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,10.00
Internal Audit,Office Consumables,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,26.97
Legal Services,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,26.97
Licensing,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,27.96
Licensing,New Equipment,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,10.00
Licensing,Office Consumables,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,27.96
Local Taxation,Bpr/Contact Centre,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,8.99
Management Business Unit,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,23.98
Managing Director,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,24.41
Markets - Staffing,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,14.04
Member Services,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,22.97
Member Services,Office Consumables,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,10.00
Members Expenses,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,4.00
Parks & Open Spaces,Materials-Direct,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,92.08
Pest Control,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,41.94
Policy And Performance Review,Telephones,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,32.97
Proposed Selec Licensing 2017,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,27.96
Recycling Collection,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,102.96
Refuse/Cleansing Admin Staff,Civil Contingency Act,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,80.00
Refuse/Cleansing Admin Staff,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,194.79
Refuse Collection,Computer Rental & Maint,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,180.00
Strategic Housing Department,Mobiles,A/C 75782744 19/07/23 - 18/08/23,B000024248/55296,Ee Limited,15 August 2023,27.96
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024248/61963,Smart Building Solutions Blackburn Ltd,15 August 2023,"2,373.63"
Hag Restoration & Lighting,Contractor Other,LIGHTING PROJECT AT HAG,B000024248/68015,Lumenata,15 August 2023,"16,927.55"
Haworth Art Gallery,Water Charges,CUMULATIVE WATER BILL,B000024248/8325,Water Plus Ltd,15 August 2023,913.17
Markets - Operations,Water Charges,MARKET HALL - 23.06.23 - 22.07.23,B000024254/8325,Water Plus Ltd,15 August 2023,775.36
HOUSING BENEFIT ADMIN,SECURITY SERVICES,G4S,36796,G4S,15 August 2023,549.25
Burton Chambers  - Luf,Securing Premises,BURTON CHAMBERS SECUTRITY JUN/JUL,B000024224/27659,Vps (Uk) Limited,17 August 2023,"1,447.95"
Scaitcliffe House,Asset Maint R&M,SCAITCLIFFE HOUSE - PAT TESTING,B000024224/53957,Lantei Limited,17 August 2023,"1,056.75"
Willows Lane Depot,Asset Maint R&M,WILLOWS LANE - PAT TESTING,B000024224/53957,Lantei Limited,17 August 2023,242.25
Local Taxation,Fees-Analysts & Consultants,BUSINESS RATES REVIEW - JULY 2023 RETURNS,B000024226/61357,Capacity Grid,17 August 2023,948.00
Acc Town Hall,Asset Maint R&M,SCAITCLIFFE HOUSE - REMOVAL AND DISPOSAL OF CHUBB SAFE,B000024226/8187,The Security Company N/W Ltd,17 August 2023,235.00
Tipping Charges,Hired Vehicle,EMPTY WASTE BAYS W/L,B000024230/9294,Stanley Brothers (Tippers) Ltd,17 August 2023,540.00
Cvmu,Materials-Direct,SAFETY CURTAINS X 5,B000024232/62055,Epic Media Group Limited,17 August 2023,"1,215.00"
Computer Services,Rental & Maint Software Misc,Q2 MAY - AUGUST,B000024247/66155,Nominet Uk,17 August 2023,422.22
Cvmu,Fuel Stock,ENGINE OIL,B000024251/59186,Sar Lubricants,17 August 2023,943.00
Hyndburn Cemeteries,Equipmnt Repair & Maint,REPAIR BY MERCERS,B000024251/68556,Rob Mercer,17 August 2023,323.94
Hyndburn Cemeteries,Agency Staff,AGENCY STAFF W/E 30.07.2023,B000024253/19414,Proman Supply Chain Ltd,17 August 2023,583.95
Parks & Open Spaces,Agency Staff,AGENCY STAFF W/E 30.7.2023,B000024253/19414,Proman Supply Chain Ltd,17 August 2023,"2,148.65"
Accrington Town Centre,Event Expenditure,HYNDBURN SPORTS AWARD,B000024253/29112,Hyndburn Leisure,17 August 2023,333.33
Accrington Crematorium,Rental & Maint Software Misc,HOSTED BACAS BOOKINGS,B000024253/59817,Clear Skies Software Ltd,17 August 2023,"11,100.00"
Refuse Collection,Clinical Waste Collection,CLINICAL WASTE,B000024253/62108,Rentokil Initial Uk Ltd,17 August 2023,680.90
Homes For Ukraine-Comm Integra,Misc Expenses Other,REFUGEE WEEK EVENT,B000024258/66163,Media Village,17 August 2023,"4,990.00"
Ukspf - Regeneration,Marketing/Promotion,HISTORIC ENGLAND VISIT VIDEO SHOOT,B000024258/66163,Media Village,17 August 2023,"3,495.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024259/30178,B3p Services Ltd,17 August 2023,"4,175.60"
Market Chambers - Luf,Acquisition Of Buildings,RELOCATION COSTS ,B000024259/68750,Quealy & Co,17 August 2023,"1,725.88"
Housing Advice,Rough Sleeping Intiative,STEPPING STONE PROJECTS STEP FORWARD PROJ 23/24,B000024261/54653,Stepping Stone Project,17 August 2023,"28,576.00"
Housing Advice,Choice Based Lettings,BWITH US ANNUAL FEE 23/24,B000024261/59166,Together Housing Association,17 August 2023,"18,425.63"
Tech. Refresh (Annual Replacem,Equipment,3 SEAGATE HARDRIVES,B000024168/62014,Techbuyer Limited,22 August 2023,234.00
Cvmu,Materials-Direct,RECOVER THE JCB,B000024232/39746,Assured Automobile Assessors Ltd,22 August 2023,240.00
Waste Services,Agency Staff,AGENCY STAFF W/C 24.7.23,B000024234/61971,Rapid Recruit Ltd,22 August 2023,"1,958.29"
Library St Depot,Cleaning,CLEANING,B000024260/68396,Servicemaster Cs Aaa,22 August 2023,734.24
Hyndburn Cemeteries,Agency Staff,AGENCY STAF- W/C 31.7.23,B000024264/19414,Proman Supply Chain Ltd,22 August 2023,583.95
Parks & Open Spaces,Agency Staff,AGENCY STAFF- W/C 31.7.23,B000024264/19414,Proman Supply Chain Ltd,22 August 2023,"1,959.77"
Memorial Park,Contractor Other,CONTRACT PROJECT MANAGEMENT OF PATH WORK,B000024264/60561,Proffits Investing In Communities,22 August 2023,"11,524.75"
Memorial Park,Private Contractors Work,COMMUNITY ENGAGEMENT IN PARK,B000024264/60561,Proffits Investing In Communities,22 August 2023,"3,000.00"
Waste Services,Protective Clothing,LADIES NAVY FLEECE WITH COUNCIL CREST 10,B000024266/666,"Bubbles, Brushes & Wiper Co Ltd",22 August 2023,14.00
Waste Services,Protective Clothing,SIOEN MONORAY HI VIS WATERPROOF JACKET M/L/XL,B000024266/666,"Bubbles, Brushes & Wiper Co Ltd",22 August 2023,219.96
Computer Services,Telephones,VODAFONE INVOICE,B000024267/40272,Vodafone Ltd,22 August 2023,792.51
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024267/64557,Harris Heating (Nw) Ltd,22 August 2023,"4,150.00"
Administration Services,Office Consumables,BLUE NON-FL INK,B000024267/7231,Pitney Bowes Ltd,22 August 2023,303.95
Housing Benefit Administration,Training Expenses,CONFERENCE 19.09.23 1 DELEGATE,B000024268/46443,Hbinfo Ltd,22 August 2023,250.00
Housing Benefit Administration,Training Expenses,TRAINING,B000024268/48066,La Directories Limited,22 August 2023,800.00
Environmental Protection,Agency Staff,TEMP STAFF -WE 23.07.23,B000024268/61860,Vivid Resourcing,22 August 2023,"1,850.00"
Environmental Protection,Agency Staff,STAFF-P/E 23.07.23,B000024268/61860,Vivid Resourcing,22 August 2023,917.60
Development Control B.U.,Agency Staff,TEMP STAFF WE 06.08.23 ,B000024268/67448,Macdonald & Company,22 August 2023,"1,400.83"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024269/50640,Prism Medical Uk,22 August 2023,"3,698.90"
Markets - Operations,Asset Maint R&M,ACCRINGTON MARKET HALL - FIT SAFTY BREAK MECHANISM,B000024269/54975,Roller Shutter Services Ltd,22 August 2023,490.00
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024269/61963,Smart Building Solutions Blackburn Ltd,22 August 2023,"6,440.97"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024271/17577,Wessex Lift Co Ltd,22 August 2023,412.60
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024271/59806,Greenwood Plumbers,22 August 2023,"3,540.00"
Tech. Refresh (Annual Replacem,Equipment,HP PROCURVE SWITCH 3500 YL 48G-PWR,B000024271/62014,Techbuyer Limited,22 August 2023,320.00
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024271/7874,Stannah Lift Services Limited,22 August 2023,"7,180.00"
Tech. Refresh (Annual Replacem,Equipment,"23 X  21.5"" ADJUSTABLE MONITORS WITH AUDIO",B000024272/68734,Hp Inc. Uk Limited,22 August 2023,"2,554.24"
Tech. Refresh (Annual Replacem,Equipment,"2 X 27"" ADJUSTABLE MONITORS WITH AUDIO",B000024272/68734,Hp Inc. Uk Limited,22 August 2023,1.00
Cvmu,Contract Hire,VEHICLE CONTRACT HIRE COSTS,B000024221/66492,Go Plant Fleet Services Ltd,24 August 2023,"149,864.88"
Refuse Collection,Vehicle Tracker / Fuel/ Cctv,VEHICLE TRACKERS,B000024230/60522,Trakm8 Holdings Plc,24 August 2023,177.92
Refuse Collection,Vehicle Tracker / Fuel/ Cctv,VEHICLE TRACKERS W/S,B000024230/60522,Trakm8 Holdings Plc,24 August 2023,88.96
Parks & Open Spaces,Vehicle Tracker / Fuel/ Cctv,TRACKER COSTS PARKS,B000024230/65244,Inseego,24 August 2023,240.00
Cvmu,Materials-Direct,RAIL AND MUD FLAP,B000024232/1164,Dennis Eagle Limited,24 August 2023,"1,082.07"
Cvmu,Materials-Direct,VEHICLE RECOVERY,B000024232/39746,Assured Automobile Assessors Ltd,24 August 2023,320.00
Cvmu,Materials-Direct,DEFLECTOR PLATE,B000024232/7688,Aebi Schmidt Uk Ltd,24 August 2023,354.65
Commercial Collections,Landfill Tax,TRADE WASTE,B000024234/8810,Suez Recycling And Recovery Uk Ltd,24 August 2023,"9,268.64"
Commercial Collections,Waste Disposal Charges,TRADE WASTE,B000024234/8810,Suez Recycling And Recovery Uk Ltd,24 August 2023,"2,280.39"
Electical Works Various,Contractor Other,ACCRINGTON MARKET HALL - EICR REMEDIAL WORKS,B000024236/60330,Calbarrie Compliance Services,24 August 2023,"2,666.10"
Electical Works Various,Contractor Other,ACC TOWN HALL - EICR REMEDIAL WORKS,B000024236/60330,Calbarrie Compliance Services,24 August 2023,"2,406.60"
Electical Works Various,Contractor Other,CVMU - EICR REMEDIAL WORKS,B000024236/60330,Calbarrie Compliance Services,24 August 2023,"2,592.60"
Electical Works Various,Contractor Other,HAWORTH ART GALLERY - EICR REMEDIAL WORKS,B000024236/60330,Calbarrie Compliance Services,24 August 2023,"2,769.54"
Electical Works Various,Contractor Other,HAWORTH STABLES - EICR REMEDIAL WORKS,B000024236/60330,Calbarrie Compliance Services,24 August 2023,300.00
Electical Works Various,Contractor Other,KING GEORGES PAVILION - EICR REMEDIAL WORKS,B000024236/60330,Calbarrie Compliance Services,24 August 2023,251.40
Electical Works Various,Contractor Other,SCAITCLIFFE HOUSE - EICR REMEDIAL WORKS,B000024236/60330,Calbarrie Compliance Services,24 August 2023,"3,995.40"
Haworth Art Gallery,Asset Maint R&M, ANNUAL SERVICE PASSENGER GOODS & PLATFORM LIFTS SEPT 23 - AUG 24 (YEAR 4),B000024236/64522,R J Lift Services Ltd,24 August 2023,219.42
Leisure In Hyndburn,Asset Maint R&M,ANNUAL SERVICE PASSENGER GOODS & PLATFORM LIFTS SEPT 23 - AUG 24 (YEAR 4),B000024236/64522,R J Lift Services Ltd,24 August 2023,438.84
Markets - Operations,Asset Maint R&M,ANNUAL SERVICE PASSENGER GOODS & PLATFORM LIFTS SEPT 23 - AUG 24 (YEAR 4),B000024236/64522,R J Lift Services Ltd,24 August 2023,329.13
Parks & Open Spaces,Asset Maint R&M,ANNUAL SERVICE PASSENGER GOODS & PLATFORM LIFTS SEPT 23 - AUG 24 (YEAR 4),B000024236/64522,R J Lift Services Ltd,24 August 2023,219.42
Rhyddings Cafe,Asset Maint R&M,ANNUAL SERVICE PASSENGER GOODS & PLATFORM LIFTS SEPT 23 - AUG 24 (YEAR 4),B000024236/64522,R J Lift Services Ltd,24 August 2023,219.42
Scaitcliffe House,Asset Maint R&M,ANNUAL SERVICE PASSENGER GOODS & PLATFORM LIFTS SEPT 23 - AUG 24 (YEAR 4),B000024236/64522,R J Lift Services Ltd,24 August 2023,219.42
Legal Services,Publications & Periodicals,PRACTICAL LAW 2023-2024,B000024240/50652,Thomson Reuters Professional Uk Ltd,24 August 2023,"17,669.40"
Registration Of Electors,Publications & Periodicals,ELECTION LAW SCHOFIELDS R71,B000024245/50652,Thomson Reuters Professional Uk Ltd,24 August 2023,343.00
Cvmu,Materials-Direct,TYRES,B000024251/29877,Rossendale Vulcanising (Sales Ltd),24 August 2023,"5,129.00"
Cvmu,Cleaning,CLEANING CVMU AUGUST 2023,B000024251/68396,Servicemaster Cs Aaa,24 August 2023,734.24
Accrington Crematorium,Equipmnt Repair & Maint,MUSIC/MEDIA AT CREM,B000024253/55609,Obitus (Vivedia Ltd),24 August 2023,"1,738.00"
Hyndburn Cemeteries,Protective Clothing,PPE,B000024253/666,"Bubbles, Brushes & Wiper Co Ltd",24 August 2023,410.56
Parks & Open Spaces,Asset Maint R&M,CLEARING BLOCKAGES AT MERCER PARK - CLAYTON LE MOORS,B000024258/54512,Clear A Drain Ltd,24 August 2023,480.00
Accrington Town Centre,Event Expenditure,TRAFFIC MANAGEMENT FOR ACCRINGTON CARNIVAL 2023,B000024264/64476,Kays Highways Ltd,24 August 2023,"1,740.00"
Cvmu,Contract Hire,RCV LEASES ,B000024274/46880,Specialist Fleet Services Ltd,24 August 2023,"41,668.00"
Cvmu,Contract Hire,RCV LEASES ,B000024274/46880,Specialist Fleet Services Ltd,24 August 2023,"41,668.00"
Cvmu,Contract Hire,RCV LEASES ,B000024274/46880,Specialist Fleet Services Ltd,24 August 2023,"41,668.00"
Cvmu,Contract Hire,RCV LEASES ,B000024274/46880,Specialist Fleet Services Ltd,24 August 2023,"41,668.00"
Accrington Town Centre,Event Expenditure,AUTUMN EVENT ADVERT,B000024274/61918,Pro Digital Media & Event Management Ltd,24 August 2023,495.00
Parks & Open Spaces,Water Charges,WATER CHARGES OAKHILL  - 22.5.23/29.7.23,B000024274/8325,Water Plus Ltd,24 August 2023,912.83
Pleck Meadow Project,Contract Works,PLANTATION ROAD AND ARDEN GATES,B000024275/14998,Sterling Construction (Services) Ltd,24 August 2023,"1,200.00"
Leisure In Hyndburn,Grants-General,LCC WEIGHT MANAGEMENT GRANT - APRIL - JUNE 2023,B000024275/29112,Hyndburn Leisure,24 August 2023,"17,656.50"
Leisure In Hyndburn,Grants-General,LCC WEIGHT MANAGEMENT GRANT - JULY - SEPTEMBER 2023,B000024275/29112,Hyndburn Leisure,24 August 2023,"17,656.50"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024275/31205,Bryan Lee Building Contractors Ltd,24 August 2023,"2,792.43"
Housing Advice,Rough Sleeping Intiative,01.04.23 - 30.09.23,B000024275/54653,Stepping Stone Project,24 August 2023,"10,000.00"
