,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Cvmu,Printing,CONSUMABLES,B000024071/67720,Document Logic,8 Jun 2023,56.33
Cvmu,Materials-Direct,DOOR LATCH,B000024074/1164,Dennis Eagle Limited,8 Jun 2023,368.08
Cvmu,Stationery,TAXI FAIL BOOKS,B000024074/1344,Ellison Printing,8 Jun 2023,424.00
Cvmu,Materials-Direct,VEHICLE RECOVERY,B000024074/39746,Assured Automobile Assessors Ltd,8 Jun 2023,240.00
Cvmu,Materials-Direct,STEAM CLEAN X 2,B000024075/58642,Keep Em Clean,8 Jun 2023,770.00
Cvmu,Materials-Direct,STEAM CLEAN X 3,B000024075/58642,Keep Em Clean,8 Jun 2023,262.50
Acc Town Hall,Asset Maint R&M,BROADWAY OFFICE- REPLACE FAULTY AC CONTROL,B000024076/56939,Affordable Bar & Catering Equipment Direct,8 Jun 2023,330.00
Scaitcliffe House,Asset Maint R&M,SCAITCLIFFE HOUSE NEW WALL MOUNTED AC UNIT AND OUTDOOR CONDENSING UNIT FT00913,B000024076/56939,Affordable Bar & Catering Equipment Direct,8 Jun 2023,"2,690.00"
Cannon St Acc,Asset Maint R&M,CANNON STREET- EICR- 5 YR FIXED WIRING TEST & INSP.,B000024076/60330,Calbarrie Compliance Services,8 Jun 2023,604.65
Haworth Art Gallery,Asset Maint R&M,HAG STABLES EICR 5 YR FIXED WIRING TEST & INSP,B000024076/60330,Calbarrie Compliance Services,8 Jun 2023,340.55
Leisure In Hyndburn,Lih R&M,ACC TOWN HALL & EXTENSION- EICR- 5 YR FIXED WIRING TEST & INSP.,B000024076/60330,Calbarrie Compliance Services,8 Jun 2023,"1,529.00"
Markets - Operations,Asset Maint R&M,"ACC MARKET HALL- EICR- 5 YR FIXED, WIRING, TEST & INSP.",B000024076/60330,Calbarrie Compliance Services,8 Jun 2023,"1,369.15"
Parks & Open Spaces,Asset Maint R&M,OAKHILL PARK SERVICE BUILDING- EICR- 5 YR FIXED WIRING TEST & INSP.,B000024076/60330,Calbarrie Compliance Services,8 Jun 2023,347.50
Scaitcliffe House,Asset Maint R&M,SCAITCLIFFE HOUSE- EICR- 5YR FIXED WIRIGIN TEST & INSP,B000024076/60330,Calbarrie Compliance Services,8 Jun 2023,"2,363.00"
Cvmu,Advertising,JOB ADVERTISMENTS,B000024078/65606,Newsquest Media Group,8 Jun 2023,682.00
Corporate R & M (Holding A/C),Defibrillators,HYNDBURN BC PADS & BATTERIES FOR DEFIBRILLATORS,B000024081/62010,Defibshop,8 Jun 2023,320.00
Cvmu,Materials-Direct,GASKET INJECTORS,B000024091/13375,Vantage Toyota Blackburn,8 Jun 2023,842.17
Cvmu,Materials-Direct,"OIL,SEALS AND BRACKETS",B000024091/61446,Chorley Group Burnley,8 Jun 2023,304.00
Cvmu,Implements & Tools,POWER GREASER,B000024091/67686,S I J Automotive Limited,8 Jun 2023,894.00
Cvmu,Equipmnt Repair & Maint,OXYGEN AND RENTAL,B000024096/634,British Oxygen Co Ltd,8 Jun 2023,319.25
Hyndburn Cemeteries,New Equipment,TOP SOIL,B000024097/13133,Greenvale,8 Jun 2023,250.00
Hyndburn Cemeteries,Agency Staff,AGENCY STAFF W/E 21.05.2023,B000024097/19414,Proman Supply Chain Ltd,8 Jun 2023,569.11
Hyndburn Cemeteries,Agency Staff,ANGENCY STAFF W/E 22.05.2023,B000024097/19414,Proman Supply Chain Ltd,8 Jun 2023,569.12
Accrington Crematorium,Urns & Caskets,ASHES BOXES - BABY URNS,B000024097/27901,Teleshore (Uk) Ltd,8 Jun 2023,909.19
