Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
REGN - Regeneration & Housing,FAB - Facilities,Gas charges July 24 - Clayton Civic,15,CRINV0004810,"SEFE Energy - 10174064 Mercer Park, CLM",12/09/2024,370.91
REGN - Regeneration & Housing,FAB - Facilities,Gas Charges July 24 - Willows Lane,16,CRINV0004810,"SEFE Energy - 10174064 Mercer Park, CLM",12/09/2024,265.20
REGN - Regeneration & Housing,FAB - Facilities,Gas charges - July 24 - CVMU,17,CRINV0004810,"SEFE Energy - 10174064 Mercer Park, CLM",12/09/2024,"1,622.58"
REGN - Regeneration & Housing,FAB - Facilities,Gas charges July 24 - Haworth Stables,18,CRINV0004810,"SEFE Energy - 10174064 Mercer Park, CLM",12/09/2024,"1,673.15"
REGN - Regeneration & Housing,FAB - Facilities,Gas charges July 24 - Rhyddings Park,19,CRINV0004810,"SEFE Energy - 10174064 Mercer Park, CLM",12/09/2024,306.32
LEGL - Legal & Democratic,DAB - Human Resources,HMRC May 24 Tax,1,CRINV0004826,HM Revenue & Customs (Direct Debit),12/09/2024,"96,974.99"
LEGL - Legal & Democratic,DAB - Human Resources,HMRC May 24 Student Loans,2,CRINV0004826,HM Revenue & Customs (Direct Debit),12/09/2024,"1,617.00"
LEGL - Legal & Democratic,DAB - Human Resources,HMRC Apprenticeship Levy May 24,3,CRINV0004826,HM Revenue & Customs (Direct Debit),12/09/2024,"2,473.00"
LEGL - Legal & Democratic,DAB - Human Resources,HMRC NI EES May 24,4,CRINV0004826,HM Revenue & Customs (Direct Debit),12/09/2024,"33,247.38"
LEGL - Legal & Democratic,DAB - Human Resources,HMRC NI ERS May 24,5,CRINV0004826,HM Revenue & Customs (Direct Debit),12/09/2024,"70,844.13"
RESO - Resources,AAG - Management Resources,Contractor,1,CRINV0004827,Alliance Leisure Services Limited,12/09/2024,"979,145.94"
RESO - Resources,AAG - Management Resources,PM Fee,2,CRINV0004827,Alliance Leisure Services Limited,12/09/2024,"5,228.57"
RESO - Resources,AAG - Management Resources,ALS Fee,3,CRINV0004827,Alliance Leisure Services Limited,12/09/2024,"5,400.00"
RESO - Resources,AAD - ICT,Quarterly business bill - 01.09.24 - 30.11.24,1,CRINV0004870,British Telecommunications Plc,12/09/2024,70.00
RESO - Resources,AAD - ICT,Quarterly business bill - 01.09.24 - 30.11.24,2,CRINV0004870,British Telecommunications Plc,12/09/2024,"1,447.09"
LEGL - Legal & Democratic,DAB - Human Resources,CAY Recharge Mar 24,1,CRINV0004877,Lancashire County Council (Direct Debit Payments),12/09/2024,"43,094.99"
LEGL - Legal & Democratic,DAB - Human Resources,CAY Recharge July 24,1,CRINV0004878,Lancashire County Council (Direct Debit Payments),12/09/2024,"44,363.57"
LEGL - Legal & Democratic,DAB - Human Resources,CAY Recharge June 24,1,CRINV0004879,Lancashire County Council (Direct Debit Payments),12/09/2024,"45,273.65"
LEGL - Legal & Democratic,DAB - Human Resources,CAY Recharge May 24,1,CRINV0004880,Lancashire County Council (Direct Debit Payments),12/09/2024,"45,500.24"
REGN - Regeneration & Housing,FAB - Facilities,Disabled Facilities Granr,1,CRINV0004903,R W Building And Development,12/09/2024,"2,000.00"
RESO - Resources,AAF - Finance,RVBC Tariff due August 2024,1,CRINV0004908,(DD ONLY) Ribble Valley Borough Council,12/09/2024,"403,261.00"
RESO - Resources,AAF - Finance,BRR & RSG August 24,1,CRINV0004910,"(DD) Department of Levelling Up, Housing & Comm...",12/09/2024,"161,413.00-"
RESO - Resources,AAF - Finance,BRR & RSG Central Share August 24,2,CRINV0004910,"(DD) Department of Levelling Up, Housing & Comm...",12/09/2024,"938,611.00"
RESO - Resources,AAF - Finance,BRR & RSG Top Up August 24,3,CRINV0004910,"(DD) Department of Levelling Up, Housing & Comm...",12/09/2024,"1,043.00-"
RESO - Resources,AAF - Finance,BRR & RSG TR Payments August 24,4,CRINV0004910,"(DD) Department of Levelling Up, Housing & Comm...",12/09/2024,"79,698.00-"
RESO - Resources,AAF - Finance,BRR & RSG Surplus for 23-24 - August 24,5,CRINV0004910,"(DD) Department of Levelling Up, Housing & Comm...",12/09/2024,"222,950.00"
RESO - Resources,AAF - Finance,BRR & RSG Surplus for 22-23 August 24,6,CRINV0004910,"(DD) Department of Levelling Up, Housing & Comm...",12/09/2024,"152,184.00-"
REGN - Regeneration & Housing,FAA - Economic Development,Consultancy services - Aug 24,1,CRINV0004915,Cheregen,12/09/2024,"3,900.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,Retention Fee,1,CRINV0004933,Alliance Leisure Services Limited,12/09/2024,"36,715.09"
RESO - Resources,AAF - Finance,Precept Sept 24,1,CRINV0004960,Lancashire County Council (Direct Debit Payments),12/09/2024,"3,652,944.00"
RESO - Resources,AAF - Finance,Defecit 23/24,2,CRINV0004960,Lancashire County Council (Direct Debit Payments),12/09/2024,"106,396.00-"
