Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
ENVS - Environmental Services,CAC - Parks & Cemeteries,Cleaning - September 24,1,CRINV0004744,ServiceMaster Clean Contract Services AAA,24/09/2024,265.86
ENVS - Environmental Services,CAC - Parks & Cemeteries,Cleaning - September 24,1,CRINV0004746,ServiceMaster Clean Contract Services AAA,24/09/2024,652.99
ENVS - Environmental Services,CAE - Waste Services,Vehicle Hire,1,CRINV0004758,Leeds Commercial Vehicle Hire,24/09/2024,"2,032.80"
REGN - Regeneration & Housing,FAB - Facilities,PAT testing - Broadway Offices,1,CRINV0004764,BES Group Electrical Limited,24/09/2024,514.77
ENVS - Environmental Services,CAC - Parks & Cemeteries,Agency staff - w/c 19.08.24,1,CRINV0004773,Proman Supply Chain Ltd,24/09/2024,"1,983.60"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Agency staff - w/c 19.08.24,1,CRINV0004774,Proman Supply Chain Ltd,24/09/2024,624.73
ENVS - Environmental Services,CAB - Other Environmental Services,Willows Lane Cleaning for the Month of September 2024,1,CRINV0004779,ServiceMaster Clean Contract Services AAA,24/09/2024,"1,257.69"
RESO - Resources,AAB - Benefits & Customer Contact,Professional Charges,1,CRINV0004785,Greenhalgh Kerr,24/09/2024,"1,358.23"
RESO - Resources,AAB - Benefits & Customer Contact,Stationery,1,CRINV0004791,Critiqom,24/09/2024,"1,152.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Music trubutes / Slideshows,1,CRINV0004801,Obitus (Vivedia Ltd),24/09/2024,"1,671.60"
RESO - Resources,AAB - Benefits & Customer Contact,Broadway cleaning - August 24,1,CRINV0004808,Hyndburn Leisure,24/09/2024,"1,813.60"
RESO - Resources,AAB - Benefits & Customer Contact,Recharge of Utility Costs - Broadway -August 24,1,CRINV0004809,Hyndburn Leisure,24/09/2024,"1,296.79"
RESO - Resources,AAB - Benefits & Customer Contact,Recharge of utility costs - Broadway - August 24,2,CRINV0004809,Hyndburn Leisure,24/09/2024,38.52
