Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Registration Of Electors,Document Management,WEEKLY PRINT RUN,B000024157/62168,Civica Election Services,20 July 2023,257.83
Bus Stop Facilities,Contractor Other,"ACC MARKET HALL- LIFT CONSULTANCY SERVICES, STAGE 2 ",B000024157/68541,Mand Plus Ltd,20 July 2023,"1,560.00"
Licensing,Barristers Fees,LEGAL ADVICE,B000024159/61448,Trinity Chambers,20 July 2023,562.50
Accountancy,Advertising,JOB ADVERT ,B000024159/68028,Prime Start Media Limited,20 July 2023,297.00
Parks & Open Spaces,Advertising,ADVERT,B000024163/52420,Haymarket Media Group,20 July 2023,875.00
Accountancy,Agency Staff,TEMP STAFF WC 19.06.23 ,B000024163/58852,Oyster Partnership,20 July 2023,"3,550.00"
Parks & Open Spaces,Implements & Tools,BROWN OPAQUE POLYTHENE BAGS,B000024165/33805,Imperial Polythene,20 July 2023,"3,372.60"
Leisure In Hyndburn,Lih R&M,EMERGENCY LIGHTING TEST - A.T.H,B000024166/53957,Lantei Limited,20 July 2023,210.00
Scaitcliffe House,Asset Maint R&M,EMERGENCY LIGHTING TEST - SCAITCLIFFE,B000024166/53957,Lantei Limited,20 July 2023,210.00
Corporate Property,General Repair & Maint Bldgs,CLEAR ALL DEBRIS AND RUBBISH ,B000024166/59128,George Pearce & Sons Ltd,20 July 2023,"1,182.00"
Parks & Open Spaces,Asset Maint R&M,REPAIR LEAK IN MALE TOILET - PARKER ST,B000024166/59248,Lancashire Gas Services,20 July 2023,264.50
Leisure In Hyndburn,Asset Maint R&M,RENDERING AND FASCIA REPAIRS - WEST END CC,B000024167/59128,George Pearce & Sons Ltd,20 July 2023,"3,494.00"
Homes For Ukraine-Comm Integra,Misc Expenses Other,REFUGEE WEEK EVENT- BANNERS,B000024171/1344,Ellison Printing,20 July 2023,823.00
Homes For Ukraine-Comm Integra,Misc Expenses Other,REFUGEE WEEK EVENT- MENU CARDS,B000024171/1344,Ellison Printing,20 July 2023,77.00
Homes For Ukraine-Comm Integra,Misc Expenses Other,REFUGEE WEEK EVENT- X4 EASEL BOARDS,B000024171/1344,Ellison Printing,20 July 2023,278.00
Burton Chambers  - Luf,Securing Premises,BURTON CHAMBERS SECURITY- MAY/JUNE,B000024171/27659,Vps (Uk) Limited,20 July 2023,"1,158.36"
Vat Only Suspense,Misc Expenses Other,COSTS,B000024171/66036,Marston (Holdings) Ltd,20 July 2023,"2,609.08"
Vat Only Suspense,Misc Expenses Other,COSTS,B000024171/66036,Marston (Holdings) Ltd,20 July 2023,"1,232.92"
Ukspf - Regeneration,Marketing/Promotion,BROADWAY BANNER ,B000024171/66163,Media Village,20 July 2023,"6,300.00"
Acc Town Hall,Electricity,ELECTRIC- UTILITY COSTS,B000024172/29112,Hyndburn Leisure,20 July 2023,"5,536.67"
Acc Town Hall,Gas,GAS- UTILITY COSTS,B000024172/29112,Hyndburn Leisure,20 July 2023,934.11
Acc Town Hall,Water Charges,WATER- UTILITY COSTS,B000024172/29112,Hyndburn Leisure,20 July 2023,135.64
Accrington Crematorium,Security System Maintenance,CALLOUTS - JUNE 23,B000024174/44845,Keyplus Security Ltd,20 July 2023,131.56
Corporate Property,Security System Maintenance,CALLOUTS - JUNE 23,B000024174/44845,Keyplus Security Ltd,20 July 2023,46.00
Library St Depot,Security System Maintenance,CALLOUTS - JUNE 23,B000024174/44845,Keyplus Security Ltd,20 July 2023,65.78
Markets - Operations,Security System Maintenance,CALLOUTS - JUNE 23,B000024174/44845,Keyplus Security Ltd,20 July 2023,197.34
Parks & Open Spaces,Security System Maintenance,CALLOUTS - JUNE 23 - BRIAN WALMSLEY,B000024174/44845,Keyplus Security Ltd,20 July 2023,197.34
Parks & Open Spaces,Security System Maintenance,CALLOUTS - JUNE 23 - HIPPINGS VALE,B000024174/44845,Keyplus Security Ltd,20 July 2023,65.78
Parks & Open Spaces,Security System Maintenance,CALLOUTS - JUNE 23 - KING GEORGES,B000024174/44845,Keyplus Security Ltd,20 July 2023,164.46
Parks & Open Spaces,Security System Maintenance,CALLOUTS - JUNE 23 - OAKHILL,B000024174/44845,Keyplus Security Ltd,20 July 2023,189.75
Parks & Open Spaces,Security System Maintenance,CALLOUTS - JUNE 23 - WILSONS,B000024174/44845,Keyplus Security Ltd,20 July 2023,253.00
Ranger St Compound & Depot,Security System Maintenance,CALLOUTS - JUNE 23,B000024174/44845,Keyplus Security Ltd,20 July 2023,65.78
Willows Lane Depot,Security System Maintenance,CALLOUTS - JUNE 23,B000024174/44845,Keyplus Security Ltd,20 July 2023,328.90
Rhyddings Cafe,Asset Maint R&M,INSTALL NEW COMPRESSOR - RHYDDINGS,B000024174/56939,Affordable Bar & Catering Equipment Direct,20 July 2023,450.00
Haworth Art Gallery,Equipment-Resale,GOODS FOR SHOP SALE,B000024174/61798,Christina May Limited,20 July 2023,529.62
Haworth Art Gallery,Asset Maint R&M,HAG -  CONSERVATORY ROOF REPAIRS,B000024178/21792,H & M Building & Joinery Ltd,20 July 2023,280.00
Commercial Collections,Landfill Tax,TRADE WASTE,B000024179/8810,Suez Recycling And Recovery Uk Ltd,20 July 2023,"9,750.56"
Commercial Collections,Waste Disposal Charges,TRADE WASTE,B000024179/8810,Suez Recycling And Recovery Uk Ltd,20 July 2023,"2,398.96"
Cvmu,Materials-Direct,BUMPER,B000024180/1164,Dennis Eagle Limited,20 July 2023,295.74
Cvmu,Materials-Direct,REPLACE TAILGATE FLOOR,B000024180/1164,Dennis Eagle Limited,20 July 2023,"5,520.40"
Parks & Open Spaces,Asset Maint R&M,BULLOUGH PARK - PPM EMERGENCY LIGHTING TEST,B000024181/53957,Lantei Limited,20 July 2023,336.55
Street Cleansing,Dog Bags,RED DOG WASTE BAGS,B000024183/19799,Durasak,20 July 2023,"9,355.50"
Underspends Bids,Private Contractors Work,TREE WORK,B000024183/22189,Roy Cattermole (Tree Surgeon),20 July 2023,"5,200.00"
Planning Policy B.U.,Agency Staff,TEMP STAFF W/C 25.06.23  02.07.23,B000024187/67448,Macdonald & Company,20 July 2023,"2,756.00"
Cvmu,Vehicle Leasing,LEASE RENTAL,B000024194/19083,Societe Generale Equipment Finance Ltd,20 July 2023,"2,965.00"
Strategic Housing Department,Fees-Analysts & Consultants,CONSULTANCY FEES,B000024195/59167,Arcadis Consulting (Uk) Ltd,20 July 2023,"53,000.00"
Scaitcliffe House,Water Charges,WATER SCAITCLIFFE HOUSE JUN 23,B000024195/8325,Water Plus Ltd,20 July 2023,502.69
Cvmu,Cpc Driver Training,2 ATTENDEES CVMU DCPC DH&W & DWE,B000024196/19112,Specialist Training Consultancy Ltd,20 July 2023,62.64
Cvmu,Cpc Driver Training,DCPC REG - CVMU X 2,B000024196/19112,Specialist Training Consultancy Ltd,20 July 2023,17.50
Hyndburn Cemeteries,Cpc Driver Training,2 ATTENDEES CEMETERY DCPC DH&W & DWE,B000024196/19112,Specialist Training Consultancy Ltd,20 July 2023,62.64
Hyndburn Cemeteries,Cpc Driver Training,DCPC REG - CEMS X 2,B000024196/19112,Specialist Training Consultancy Ltd,20 July 2023,17.50
Refuse Collection,Cpc Driver Training,15 ATTENDEES WASTE SERVICES DCPC DH&W & DWE,B000024196/19112,Specialist Training Consultancy Ltd,20 July 2023,469.72
Refuse Collection,Cpc Driver Training,DCPC REG - W/S X 15,B000024196/19112,Specialist Training Consultancy Ltd,20 July 2023,131.25
Refuse Collection,Cpc Driver Training,WEEKEND FEE,B000024196/19112,Specialist Training Consultancy Ltd,20 July 2023,59.50
Accrington Town Centre,Event Expenditure,ANNUAL EVENT ADVERT,B000024196/61918,Pro Digital Media & Event Management Ltd,20 July 2023,495.00
Cvmu,Materials-Direct,TYRES,B000024197/29877,Rossendale Vulcanising (Sales Ltd),20 July 2023,"2,192.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024198/30178,B3p Services Ltd,20 July 2023,"4,831.32"
Burton Chambers  - Luf,Miscellaneous,RELOCATION SEARCH ,B000024198/34808,Done Brothers (Cash Betting) Ltd,20 July 2023,"1,387.00"
Homes For Ukraine-Thankyou Pay,Misc Expenses Other,RENT ,B000024198/61195,H2 Homes Lettings & Property Services,20 July 2023,495.00
Affordable Warmth Intervention,Contractor Other,AFFORDABLE WARMTH GRANT,B000024198/62221,Rhea Projects,20 July 2023,"3,937.50"
Affordable Warmth Intervention,Contractor Other,AFFORDABLE WARMTH GRANT,B000024198/62221,Rhea Projects,20 July 2023,"2,094.75"
Affordable Warmth Intervention,Contractor Other,AFFORDABLE WARMTH GRANT,B000024198/62221,Rhea Projects,20 July 2023,"3,675.00"
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024198/64557,Harris Heating (Nw) Ltd,20 July 2023,"1,470.00"
Hyndburn Food Pantry,New Equipment,BARNFIELD AREA COUNCIL GRANT,B000024198/67925,Hyndburn Food Pantry,20 July 2023,863.95
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024198/68216,Scl Building Services Limited,20 July 2023,723.67
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024198/68216,Scl Building Services Limited,20 July 2023,589.40
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024198/68218,Trade Windows (Preston) Limited,20 July 2023,"1,845.00"
Dfg Affordable Warmth Grant,Contractor Other,AFFORDABLE WARMTH GRANT,B000024198/68687,Repair My Boiler Ltd,20 July 2023,"3,600.00"
Markets - Operations,General Repair & Maint Bldgs,GUARDS AT EVENT 24/06/23,B000024164/68655,Pristine Security Services Ltd,25 July 2023,381.84
Housing Benefit Administration,Legal Fees,DEBT COLLECTION COSTS,B000024171/66036,Marston (Holdings) Ltd,25 July 2023,661.02
Accountancy,Agency Staff,TEMP STAFF W/C 26/06/23,B000024172/58852,Oyster Partnership,25 July 2023,"3,550.00"
Hmo,Agency Staff,TEMP STAFF W/C 26/06/23,B000024172/58852,Oyster Partnership,25 July 2023,"1,412.84"
Hmo,Agency Staff,TEMP STAFF W/C 12.6.23,B000024172/58852,Oyster Partnership,25 July 2023,871.00
Housing Standards,Agency Staff,TEMP STAFF W/C 26.6.23 ,B000024172/58852,Oyster Partnership,25 July 2023,750.15
Corporate Property Bus Unit,Agency Staff,TEMP STAFF W/C 26/06/23,B000024172/61657,G2 Recruitment Solutions,25 July 2023,"1,215.00"
Housing Standards,Agency Staff,TEMP STAFF W/E 30.6.23 ,B000024172/61657,G2 Recruitment Solutions,25 July 2023,"1,575.72"
Accountancy,Agency Staff, AGENCY STAFF- W/E 02/07/23,B000024172/61860,Vivid Resourcing,25 July 2023,"2,950.00"
Housing Advice,Agency Staff,TEMP STAFF P/E 02/07/23 & 30/06/23,B000024172/61860,Vivid Resourcing,25 July 2023,"1,404.00"
Development Control B.U.,Stationery,6 X PLASTIC PAPER,B000024172/66873,Lloyd Paton Limited,25 July 2023,261.32
Development Control B.U.,Advertising General,ADVERT - 30.6.23,B000024172/68101,People Scout Limited,25 July 2023,271.92
Environmental Protection,Agency Staff,TEMP STAFF W/E 30.6.23,B000024174/61860,Vivid Resourcing,25 July 2023,"1,800.05"
Refuse Collection,Vehicle Tracker / Fuel/ Cctv,VEHICLE TRACKERS,B000024179/60522,Trakm8 Holdings Plc,25 July 2023,133.44
Street Cleansing,Vehicle Tracker / Fuel/ Cctv,VEHICLE TRACKERS WASTE,B000024179/60522,Trakm8 Holdings Plc,25 July 2023,133.44
Waste Services,Agency Staff,AGENCY STAFF W/C 26.6.23,B000024179/61971,Rapid Recruit Ltd,25 July 2023,"1,524.70"
Parks & Open Spaces,Vehicle Tracker / Fuel/ Cctv,PARKS TRACKERS,B000024179/65244,Inseego,25 July 2023,240.00
Cvmu,Materials-Direct,"AFRAME, PINS AND BOLTS",B000024180/7688,Aebi Schmidt Uk Ltd,25 July 2023,776.26
Community Safety,Domestic Violence,DOMESTIC HOMICIDE REVIEW 2,B000024181/68674,Safeguarding & Investigation Solutions Ltd,25 July 2023,"5,112.95"
Cvmu,Materials-Direct,BUMPER AND LAMP ASSEMBLEY,B000024182/1164,Dennis Eagle Limited,25 July 2023,449.18
Cvmu,Materials-Direct,EXPANSION TANK,B000024182/1164,Dennis Eagle Limited,25 July 2023,326.09
Cvmu,Materials-Direct,BIN LIFT PARTS,B000024182/60483,Wasteparts Uk Ltd,25 July 2023,287.38
Cvmu,Cleaning,SUPP CLEANING,B000024182/68396,Servicemaster Cs Aaa,25 July 2023,734.24
Accrington Town Centre,General Subscriptions,ANNUAL MEMBERSHIP FEE,B000024186/60667,Association Of Town Centre Management,25 July 2023,755.00
Development Control B.U.,Agency Staff,TEMP STAFF W/C 26.06.23,B000024187/58852,Oyster Partnership,25 July 2023,463.20
Planning Policy B.U.,Agency Staff,TEMP SATFF W/C 26.06.23,B000024187/58852,Oyster Partnership,25 July 2023,"1,134.75"
Dev Control,Dev Control System,ASSURE L & P IMPLEMENTATION,B000024187/65823,Nec Software Solutions Uk Ltd,25 July 2023,"2,450.00"
Off Street Parking,General Repair & Maint Bldgs,CAR PARKS- REMOVE REDUNDANT SIGNS,B000024194/26968,Lighting And Building Services Ltd,25 July 2023,675.00
Cvmu,Materials-Direct,REAR BRAKE DISC REPAIR,B000024197/63930,Croft Commercials Transport Limited,25 July 2023,"1,331.45"
Housing Benefit Administration,Agency Staff,TEMP STAFF WE 09.07.23 ,B000024200/33923,Eden Brown Limited,25 July 2023,791.70
Housing Benefit Administration,Agency Staff,TEMP STAFF WE 16.07.23,B000024200/33923,Eden Brown Limited,25 July 2023,"1,010.10"
Administration Services,Postages,POSTAGE,B000024200/7231,Pitney Bowes Ltd,25 July 2023,"11,977.92"
Markets - Operations,Cleaning Of Buildings,CLEANING MARKETS,B000024201/68396,Servicemaster Cs Aaa,25 July 2023,"1,988.05"
Cvmu,Materials-Direct,CENTRE BEARING,B000024202/1164,Dennis Eagle Limited,25 July 2023,563.22
Cvmu,Materials-Direct,VARIOUS PARTS,B000024202/1164,Dennis Eagle Limited,25 July 2023,"2,016.93"
Cvmu,Materials-Direct,TYRES,B000024202/29877,Rossendale Vulcanising (Sales Ltd),25 July 2023,"4,411.00"
Accrington Town Centre,Event Expenditure,50% GRANT FOR SOAP BOX CHALLENGE,B000024204/17546,Scott Dawson Advertising Ltd,25 July 2023,"10,000.00"
Hyndburn Cemeteries,Memorial Wall,ACC MEM WALL SUBSCRIPTIONS,B000024204/62085,Chris Danby Memorials,25 July 2023,"2,134.00"
Hyndburn Cemeteries,Memorial Wall,MEMORIAL WALL EXISTING INSCRIPTION,B000024204/62085,Chris Danby Memorials,25 July 2023,"1,216.00"
Hyndburn Cemeteries,Security System Maintenance,KEY PLUS SECURITY - GREAT HARWOOD CEM,B000024205/44845,Keyplus Security Ltd,25 July 2023,65.78
Parks & Open Spaces,Security System Maintenance,KEY PLUS SECURITY - WILSONS,B000024205/44845,Keyplus Security Ltd,25 July 2023,63.25
Ranger St Compound & Depot,Security System Maintenance,KEY PLUS SECURITY - RANGER STREET,B000024205/44845,Keyplus Security Ltd,25 July 2023,131.56
Other Services,Single Funding Pot,YEARLY GRANT,B000024205/60659,Citizens Advice Rossendale & Hyndburn Ltd,25 July 2023,"25,000.00"
Hyndburn Cemeteries,Agency Staff,AGENCY STAFF W/E 07.05.2023,B000024206/19414,Proman Supply Chain Ltd,25 July 2023,455.29
Accrington Crematorium,Visual Tributes,MEDIA CHARGES,B000024206/55609,Obitus (Vivedia Ltd),25 July 2023,"1,629.00"
Accrington Crematorium,Cleaning Of Buildings,OFFICE CLEANER AND CREM,B000024206/68396,Servicemaster Cs Aaa,25 July 2023,734.24
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024208/25868,Hyndburn Plumbing & Heating Services,25 July 2023,"3,335.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024208/7874,Stannah Lift Services Limited,25 July 2023,"2,947.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024208/7874,Stannah Lift Services Limited,25 July 2023,"4,740.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024208/7874,Stannah Lift Services Limited,25 July 2023,"3,698.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024208/7874,Stannah Lift Services Limited,25 July 2023,"3,073.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024208/7874,Stannah Lift Services Limited,25 July 2023,"3,184.00"
Disabled Facilities General,Contractor Other,DISABLED FACILITIES GRANT,B000024208/7874,Stannah Lift Services Limited,25 July 2023,"4,237.00"
HOUSING BENEFIT ADMIN,ALLPAY,JUNE,36738,ALLPAY.NET LTD,26 July 2023,1056.01
Accrington Crematorium,Electricity,ELECTRIC 21.06.23- 18.07.23 ACC CREM SITE 2,B000024210/59343,Edf Energy,27 July 2023,"2,119.82"
Acc Town Hall,Energy,ELECTRIC 21.06.23- 18.07.23 SITE 8 FEEDER PILLAR ACC TOWN HALL,B000024210/59343,Edf Energy,27 July 2023,63.14
Cannon St Acc,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 11 CANNON ST,B000024210/59343,Edf Energy,27 July 2023,511.47
Corporate Property,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 31 GH CLOCK TOWER,B000024210/59343,Edf Energy,27 July 2023,44.77
Elmfield Hall Flats,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 13 ELFIELD FLATS,B000024210/59343,Edf Energy,27 July 2023,48.52
Haworth Art Gallery,Electricity,ELECTRIC 21.06.23- 18.07.23 HAWORTH PARK SITE 1,B000024210/59343,Edf Energy,27 July 2023,493.17
Haworth Art Gallery,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 21 HAWORTH ART,B000024210/59343,Edf Energy,27 July 2023,522.84
Haworth Stables,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 27 HAWORTH STABLES & MOTOR HOUSE,B000024210/59343,Edf Energy,27 July 2023,344.77
Hyndburn Cemeteries,Electricity,ELECTRIC 21.06.23- 18.07.23 GH CEM SERV BUILDING SITE 3,B000024210/59343,Edf Energy,27 July 2023,633.72
Hyndburn Cemeteries,Electricity,ELECTRIC 21.06.23- 18.07.23 GH CEM SERV BUILDINGSITE 3,B000024210/59343,Edf Energy,27 July 2023,17.02
Hyndburn Cemeteries,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 20 DILLHALL CEM,B000024210/59343,Edf Energy,27 July 2023,24.40
Hyndburn Cemeteries,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 25 WALL OF REMEMBRANCE,B000024210/59343,Edf Energy,27 July 2023,409.49
Hyndburn Cemeteries,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 28 ACC CEM OFFICE,B000024210/59343,Edf Energy,27 July 2023,"1,727.83"
Leisure In Hyndburn,Electricity,ELECTRIC 21.06.23- 18.07.23 HYND LEISURE CENTRE,B000024210/59343,Edf Energy,27 July 2023,"31,562.92"
Markets - Operations,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 29 SERVICE YARD ACC MARK HALL,B000024210/59343,Edf Energy,27 July 2023,66.63
Parks & Open Spaces,Electricity,ELECTRIC 21.06.23- 18.07.23 HYND PEEL PARK SITE 7,B000024210/59343,Edf Energy,27 July 2023,56.49
Parks & Open Spaces,Electricity,ELECTRIC 21.06.23- 18.07.23 MEMORIAL PARK SITE 4,B000024210/59343,Edf Energy,27 July 2023,58.95
Parks & Open Spaces,Electricity,ELECTRIC 21.06.23- 18.07.23 PARKER ST BOWLS SITE 6,B000024210/59343,Edf Energy,27 July 2023,61.54
Parks & Open Spaces,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 12 MEMORIAL PARK,B000024210/59343,Edf Energy,27 July 2023,18.87
Parks & Open Spaces,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 14 OAKHILL PARK BANDSTAND,B000024210/59343,Edf Energy,27 July 2023,41.13
Parks & Open Spaces,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 16 MERCER HOUSE FLOODLIGHTING,B000024210/59343,Edf Energy,27 July 2023,80.57
Parks & Open Spaces,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 17 OAKHILL PARK,B000024210/59343,Edf Energy,27 July 2023,346.26
Parks & Open Spaces,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 19 WILSONS,B000024210/59343,Edf Energy,27 July 2023,289.26
Parks & Open Spaces,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 23 GATTY PARK GREENHOUSES,B000024210/59343,Edf Energy,27 July 2023,67.99
Parks & Open Spaces,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 26 MILNSHAW PARK BOWLS,B000024210/59343,Edf Energy,27 July 2023,57.61
Parks & Open Spaces,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 30 LOWERFOLD PAV,B000024210/59343,Edf Energy,27 July 2023,240.98
Parks & Open Spaces,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 9 RHYDDINGS PARK BOWLS,B000024210/59343,Edf Energy,27 July 2023,101.54
Parks & Open Spaces,Electricity,ELECTRIC 21.06.23- 18.07.23 WHITE ASH SITE 5,B000024210/59343,Edf Energy,27 July 2023,616.32
Ranger St Compound & Depot,Electricity,ELECTRIC 21.06.23- 18.07.23 RANGER ST,B000024210/59343,Edf Energy,27 July 2023,145.67
Willows Lane Depot,Electricity,ELECTRIC 21.06.23- 18.07.23 SITE 24 WILLOWS LANE DEPOT,B000024210/59343,Edf Energy,27 July 2023,"7,314.86"
Development Control B.U.,Agency Staff,TEMP STAFF WE 09.07.23  16.07.23 ,B000024211/67448,Macdonald & Company,27 July 2023,"2,688.92"
Planning Policy B.U.,Agency Staff,TEMP STAFF WE 09.07.23  16.07.23 ,B000024211/67448,Macdonald & Company,27 July 2023,"2,496.00"
Haworth Art Gallery,Wedding Expenditure,CATERING,B000024212/57628,S.R.S. Catering Ltd,27 July 2023,"7,000.00"
Haworth Art Gallery,Wedding Expenditure,CATERING,B000024212/57628,S.R.S. Catering Ltd,27 July 2023,"7,000.00"
Accountancy,Advertising,JOB LISTING IN JGP,B000024212/66386,Jobs Go Public Ressourcing Ltd,27 July 2023,600.00
Development Control B.U.,Agency Staff,AGENCY STAFF - W/E 23.07.23 ,B000024212/67448,Macdonald & Company,27 July 2023,"1,506.75"
Planning Policy B.U.,Agency Staff,AGENCY STAFF - W/E 23.07.23 ,B000024212/67448,Macdonald & Company,27 July 2023,"1,430.00"
Parks & Open Spaces,Advertising,JOB ADVERT,B000024212/68543,Landscape Institute,27 July 2023,375.00
Parks & Open Spaces,Private Contractors Work,SAFETY BARRIER - PEEL PARK AVE,B000024178/28458,Marchbridge Builders Ltd,31 July 2023,"3,255.00"
Tipping Charges,Hired Vehicle,EMPTY WASTE BAYS W/L,B000024179/9294,Stanley Brothers (Tippers) Ltd,31 July 2023,540.00
Cvmu,Materials-Direct,REPLACE HOPPER,B000024182/1164,Dennis Eagle Limited,31 July 2023,"4,955.48"
Cvmu,Materials-Direct,WING,B000024182/1164,Dennis Eagle Limited,31 July 2023,279.96
Cvmu,Materials-Direct,TRACK ROD END,B000024182/7688,Aebi Schmidt Uk Ltd,31 July 2023,333.28
Parks & Open Spaces,Implements & Tools,LAMINATED PADLOCK WITH 2 KEYS,B000024183/41229,Powell Hardware Ltd,31 July 2023,276.00
Accrington Crematorium,Asset Maint R&M,CREMATORIUM JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,36.00
Acc Town Hall,Asset Maint R&M,BROADWAY JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,52.00
Corporate Property,Asset Maint R&M,MERCER HOUSE JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,28.00
Corporate Property,Asset Maint R&M,PEEL STREET TOILETS JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,43.00
Haworth Art Gallery,Asset Maint R&M,HAG JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,45.00
Haworth Art Gallery,Asset Maint R&M,HAWORTH STABLES JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,43.00
Hyndburn Cemeteries,Asset Maint R&M,CREMATORIUM OFFICE JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,36.00
Hyndburn Cemeteries,Asset Maint R&M,DILL HALL CEM JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,29.00
Hyndburn Cemeteries,Asset Maint R&M,GT HARWOOD CEM JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,36.00
Leisure In Hyndburn,Lih R&M,ACC TOWN HALL JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,83.00
Library St Depot,Asset Maint R&M,CVMU JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,42.00
Parks & Open Spaces,Asset Maint R&M,BRIAN WALMSLEY JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,62.00
Parks & Open Spaces,Asset Maint R&M,BULLOUGH PARK JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,65.00
Parks & Open Spaces,Asset Maint R&M,KING GEORGES JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,139.00
Parks & Open Spaces,Asset Maint R&M,LOWERFOLD JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,31.00
Parks & Open Spaces,Asset Maint R&M,MEMORIAL JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,42.00
Parks & Open Spaces,Asset Maint R&M,MERCER PARK BOWLS JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,26.00
Parks & Open Spaces,Asset Maint R&M,MERCER SERVICE BUILDING JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,28.00
Parks & Open Spaces,Asset Maint R&M,MILNSHAW BOWLS JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,34.00
Parks & Open Spaces,Asset Maint R&M,OAKHILL BANDSTAND JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,29.00
Parks & Open Spaces,Asset Maint R&M,OAKHILL BOWLS JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,31.00
Parks & Open Spaces,Asset Maint R&M,OAKHILL SERVICE BUILDING JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,31.00
Parks & Open Spaces,Asset Maint R&M,OAKHILL TENNIS JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,33.00
Parks & Open Spaces,Asset Maint R&M,PARKER STREET JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,28.00
Parks & Open Spaces,Asset Maint R&M,PEEL STREET TENNIS JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,31.00
Parks & Open Spaces,Asset Maint R&M,RHYDDINGS PARK JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,31.00
Parks & Open Spaces,Asset Maint R&M,WILSONS JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,31.00
Rhyddings Cafe,Asset Maint R&M,RHYDDINGS COACH HOUSE JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,39.00
Rhyddings Cafe,Asset Maint R&M,RHYDDINGS SERVICE BUILDING JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,31.00
Scaitcliffe House,Asset Maint R&M,SCAITCLIFFE HOUSE JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,64.00
Willows Lane Depot,Asset Maint R&M,WILLOWS LANE CANTEEN JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,38.00
Willows Lane Depot,Asset Maint R&M,WILLOWS LANE OFFICE JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,42.00
